,Company,Ticker,Sector
0,Asia Commercial Bank,ACB,Finance&Banking
1,Agribank,AGR,Finance&Banking
2,Becamex,BCM,Real Estate
3,BIDV,BID,Finance&Banking
4,Bao Viet,BVH,Finance&Banking
5,Vietinbank,CTG,Finance&Banking
6,FPT,FPT,IT
7,PetroVietNam Gas,GAS,Power
8,Vietnam Rubber Group,GVR,Materials
9,HDBank,HDB,Finance&Banking
10,Hoa Phat,HPG,Machinery
11,LPBank,LPB,Finance&Banking
12,MBBank,MBB,Finance&Banking
13,Masan,MSN,F&B Producers
14,Mobile World,MWG,Retailing
15,Petrolimex,PLX,Power
16,Saigon Beer,SAB,F&B Producers
17,Saigon-Hanoi Bank,SHB,Finance&Banking
18,Saigon Securities,SSI,Finance&Banking
19,Sacombank,STB,Finance&Banking
20,Techcombank,TCB,Finance&Banking
21,TPBank,TPB,Finance&Banking
22,Vietcombank,VCB,Finance&Banking
23,Vinhomes,VHM,Real Estate
24,Vietnam International Bank,VIB,Finance&Banking
25,Vingroup,VIC,Finance&Banking
26,Vietjet,VJC,Transportation
27,Vinamilk,VNM,F&B Producers
28,VPBank,VPB,Finance&Banking
29,Vincom,VRE,Finance&Banking
