,Ticker,Company,Sector
0,ACB,Asia Commercial Bank,Finance&Banking
1,AGR,Agribank,Finance&Banking
2,BID,BIDV,Finance&Banking
3,BVH,Bao Viet,Finance&Banking
4,CTG,Vietinbank,Finance&Banking
5,DGC,Duc Giang Chemicals,Chemicals
6,DXG,Dat Xanh Group,Real Estate
7,EIB,Eximbank,Finance&Banking
8,FPT,FPT,IT
9,GAS,PetroVietNam Gas,Power
10,GMD,Gemadept Corporation,Transportation
11,HCM,Ho Chi Minh Securities,Finance&Banking
12,HPG,Hoa Phat,Machinery
13,KBC,Kinh Bac City Development,Real Estate
14,KDH,Khang Dien Group,Real Estate
15,MBB,MBBank,Finance&Banking
16,MSN,Masan,F&B Producers
17,MWG,Mobile World,Retailing
18,PNJ,Phu Nhuan Jewelry,Jewelry
19,REE,Refrigeration EE Corp,Machinery
20,SBT,TTC Sugar,F&B Producers
21,SHB,Saigon-Hanoi Bank,Finance&Banking
22,SSI,Saigon Securities,Finance&Banking
23,STB,Sacombank,Finance&Banking
24,VCB,Vietcombank,Finance&Banking
25,VHM,Vinhomes,Real Estate
26,VIC,Vingroup,Finance&Banking
27,VIX,VIX Securities,Finance&Banking
28,VND,VNDIRECT Securities,Finance&Banking
29,VNM,Vinamilk,F&B Producers
