Date,Issue,Code,Sector,Component Weight (TOPIX),New Index Series Code
20250331,"KYOKUYO CO.,LTD.",1301,"Fishery,Agriculture & Forestry",0.0064%,TOPIX Small 2
20250331,"Nissui Corporation",1332,"Fishery,Agriculture & Forestry",0.0334%,TOPIX Mid400
20250331,"Maruha Nichiro Corporation",1333,"Fishery,Agriculture & Forestry",0.0179%,TOPIX Mid400
20250331,"YUKIGUNI MAITAKE CO.,LTD.",1375,"Fishery,Agriculture & Forestry",0.0036%,TOPIX Small 2
20250331,"KANEKO SEEDS CO.,LTD.",1376,"Fishery,Agriculture & Forestry",0.0015%,TOPIX Small 2
20250331,"SAKATA SEED CORPORATION",1377,"Fishery,Agriculture & Forestry",0.0155%,TOPIX Small 1
20250331,"HOKUTO CORPORATION",1379,"Fishery,Agriculture & Forestry",0.0061%,TOPIX Small 2
20250331,"SHO-BOND Holdings Co.,Ltd.",1414,"Construction",0.0232%,TOPIX Mid400
20250331,"MIRAIT ONE Corporation",1417,"Construction",0.0255%,TOPIX Mid400
20250331,"Tama Home Co.,Ltd.",1419,"Construction",0.0084%,TOPIX Small 1
20250331,"robot home Inc.",1435,"Real Estate",0.0013%,TOPIX Small 2
20250331,"Sumiseki Holdings,Inc.",1514,"Mining",0.0034%,TOPIX Small 1
20250331,"Nittetsu Mining Co.,Ltd.",1515,"Mining",0.0098%,TOPIX Small 1
20250331,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",1518,"Other Products",0.0072%,TOPIX Small 1
20250331,"INPEX CORPORATION",1605,"Mining",0.2303%,TOPIX Mid400
20250331,"Japan Petroleum Exploration Co.,Ltd.",1662,"Mining",0.0236%,TOPIX Small 1
20250331,"K&O Energy Group Inc.",1663,"Mining",0.0050%,TOPIX Small 1
20250331,"Ryoyo Ryosan Holdings,Inc.",167A,"Wholesale Trade",0.0104%,TOPIX Small 1
20250331,"DAI-ICHI CUTTER KOGYO K.K.",1716,"Construction",0.0013%,TOPIX Small 2
20250331,"HAZAMA ANDO CORPORATION",1719,"Construction",0.0293%,TOPIX Small 1
20250331,"TOKYU CONSTRUCTION CO., LTD.",1720,"Construction",0.0092%,TOPIX Small 1
20250331,"COMSYS Holdings Corporation",1721,"Construction",0.0417%,TOPIX Mid400
20250331,"Br.Holdings Corporation",1726,"Construction",0.0018%,TOPIX Small 2
20250331,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",1762,"Construction",0.0076%,TOPIX Small 2
20250331,"TOKEN CORPORATION",1766,"Construction",0.0103%,TOPIX Small 1
20250331,"YAMAURA CORPORATION",1780,"Construction",0.0023%,TOPIX Small 2
20250331,"Oriental Shiraishi Corporation",1786,"Construction",0.0050%,TOPIX Small 2
20250331,"TAISEI CORPORATION",1801,"Construction",0.1555%,TOPIX Mid400
20250331,"OBAYASHI CORPORATION",1802,"Construction",0.1697%,TOPIX Mid400
20250331,"SHIMIZU CORPORATION",1803,"Construction",0.0937%,TOPIX Mid400
20250331,"HASEKO Corporation",1808,"Construction",0.0467%,TOPIX Mid400
20250331,"MATSUI CONSTRUCTION CO.,LTD.",1810,"Construction",0.0022%,TOPIX Small 2
20250331,"KAJIMA CORPORATION",1812,"Construction",0.1751%,TOPIX Mid400
20250331,"Fudo Tetra Corporation",1813,"Construction",0.0036%,TOPIX Small 2
20250331,"TEKKEN CORPORATION",1815,"Construction",0.0042%,TOPIX Small 2
20250331,"Nishimatsu Construction Co.,Ltd.",1820,"Construction",0.0198%,TOPIX Mid400
20250331,"Sumitomo Mitsui Construction Co., Ltd.",1821,"Construction",0.0087%,TOPIX Small 1
20250331,"DAIHO CORPORATION",1822,"Construction",0.0025%,TOPIX Small 2
20250331,"OKUMURA CORPORATION",1833,"Construction",0.0195%,TOPIX Small 1
20250331,"TOTETSU KOGYO CO.,LTD.",1835,"Construction",0.0087%,TOPIX Small 1
20250331,"ASANUMA CORPORATION",1852,"Construction",0.0072%,TOPIX Small 1
20250331,"TODA CORPORATION",1860,"Construction",0.0281%,TOPIX Mid400
20250331,"Kumagai Gumi Co.,Ltd.",1861,"Construction",0.0172%,TOPIX Small 1
20250331,"YAHAGI CONSTRUCTION CO.,LTD.",1870,"Construction",0.0045%,TOPIX Small 2
20250331,"PS Construction Co.,Ltd.",1871,"Construction",0.0028%,TOPIX Small 2
20250331,"NIHON HOUSE HOLDINGS CO.,LTD.",1873,"Construction",0.0019%,TOPIX Small 2
20250331,"DAITO TRUST CONSTRUCTION CO.,LTD.",1878,"Real Estate",0.1356%,TOPIX Mid400
20250331,"SHINNIHON CORPORATION",1879,"Construction",0.0057%,TOPIX Small 2
20250331,"TOA ROAD CORPORATION",1882,"Construction",0.0064%,TOPIX Small 2
20250331,"THE NIPPON ROAD CO.,LTD.",1884,"Construction",0.0049%,TOPIX Small 1
20250331,"TOA CORPORATION",1885,"Construction",0.0101%,TOPIX Small 1
20250331,"JDC CORPORATION",1887,"Construction",0.0040%,TOPIX Small 2
20250331,"WAKACHIKU CONSTRUCTION CO.,LTD.",1888,"Construction",0.0029%,TOPIX Small 2
20250331,"TOYO CONSTRUCTION CO.,LTD.",1890,"Construction",0.0098%,TOPIX Small 1
20250331,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",1893,"Construction",0.0241%,TOPIX Mid400
20250331,"SEIKITOKYU KOGYO CO.,LTD.",1898,"Construction",0.0056%,TOPIX Small 1
20250331,"FUKUDA CORPORATION",1899,"Construction",0.0051%,TOPIX Small 2
20250331,"Sumitomo Forestry Co.,Ltd.",1911,"Construction",0.1010%,TOPIX Mid400
20250331,"DAIWA HOUSE INDUSTRY CO.,LTD.",1925,"Construction",0.3860%,TOPIX Large70
20250331,"RAITO KOGYO CO.,LTD.",1926,"Construction",0.0122%,TOPIX Small 1
20250331,"Sekisui House,Ltd.",1928,"Construction",0.2625%,TOPIX Large70
20250331,"NITTOC CONSTRUCTION CO.,LTD.",1929,"Construction",0.0025%,TOPIX Small 2
20250331,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",1930,"Construction",0.0022%,TOPIX Small 2
20250331,"YURTEC CORPORATION",1934,"Construction",0.0081%,TOPIX Small 2
20250331,"NIPPON RIETEC CO.,LTD.",1938,"Construction",0.0030%,TOPIX Small 2
20250331,"YONDENKO CORPORATION",1939,"Construction",0.0042%,TOPIX Small 2
20250331,"CHUDENKO CORPORATION",1941,"Construction",0.0132%,TOPIX Small 1
20250331,"KANDENKO CO.,LTD.",1942,"Construction",0.0380%,TOPIX Mid400
20250331,"KINDEN CORPORATION",1944,"Construction",0.0596%,TOPIX Mid400
20250331,"TOKYO ENERGY & SYSTEMS INC.",1945,"Construction",0.0030%,TOPIX Small 2
20250331,"TOENEC CORPORATION",1946,"Construction",0.0042%,TOPIX Small 2
20250331,"SUMITOMO DENSETSU CO.,LTD.",1949,"Construction",0.0102%,TOPIX Small 1
20250331,"NIPPON DENSETSU KOGYO CO.,LTD.",1950,"Construction",0.0102%,TOPIX Small 2
20250331,"EXEO Group,Inc.",1951,"Construction",0.0450%,TOPIX Mid400
20250331,"Shin Nippon Air Technologies Co.,Ltd.",1952,"Construction",0.0059%,TOPIX Small 2
20250331,"KYUDENKO CORPORATION",1959,"Construction",0.0269%,TOPIX Mid400
20250331,"SANKI ENGINEERING CO.,LTD.",1961,"Construction",0.0182%,TOPIX Small 1
20250331,"JGC HOLDINGS CORPORATION",1963,"Construction",0.0302%,TOPIX Mid400
20250331,"Chugai Ro Co.,Ltd.",1964,"Construction",0.0031%,TOPIX Small 2
20250331,"TAIHEI DENGYO KAISHA,LTD.",1968,"Construction",0.0081%,TOPIX Small 2
20250331,"Takasago Thermal Engineering Co.,Ltd.",1969,"Construction",0.0347%,TOPIX Mid400
20250331,"ASAHI KOGYOSHA CO.,LTD.",1975,"Construction",0.0047%,TOPIX Small 2
20250331,"MEISEI INDUSTRIAL Co.,Ltd.",1976,"Construction",0.0056%,TOPIX Small 2
20250331,"Taikisha Ltd.",1979,"Construction",0.0152%,TOPIX Small 1
20250331,"DAI-DAN CO.,LTD.",1980,"Construction",0.0126%,TOPIX Small 1
20250331,"Hibiya Engineering,Ltd.",1982,"Construction",0.0066%,TOPIX Small 2
20250331,"NIPPN CORPORATION",2001,"Foods",0.0186%,TOPIX Small 1
20250331,"NISSHIN SEIFUN GROUP INC.",2002,"Foods",0.0447%,TOPIX Mid400
20250331,"NITTO FUJI FLOUR MILLING CO.,LTD.",2003,"Foods",0.0031%,TOPIX Small 2
20250331,"Showa Sangyo Co.,Ltd.",2004,"Foods",0.0062%,TOPIX Small 2
20250331,"CHUBU SHIRYO CO.,LTD.",2053,"Foods",0.0048%,TOPIX Small 2
20250331,"FEED ONE CO.,LTD.",2060,"Foods",0.0033%,TOPIX Small 2
20250331,"Nippon Beet Sugar Manufacturing Co.,Ltd.",2108,"Foods",0.0031%,TOPIX Small 2
20250331,"Mitsui DM Sugar Holdings Co.,Ltd.",2109,"Foods",0.0087%,TOPIX Small 2
20250331,"WELLNEO SUGAR Co.,Ltd.",2117,"Foods",0.0034%,TOPIX Small 2
20250331,"LIFULL Co.,Ltd.",2120,"Services",0.0010%,TOPIX Small 2
20250331,"MIXI,Inc.",2121,"Services",0.0168%,TOPIX Small 1
20250331,"JAC Recruitment Co.,Ltd.",2124,"Services",0.0079%,TOPIX Small 1
20250331,"Nihon M&A Center Holdings Inc.",2127,"Services",0.0231%,TOPIX Mid400
