,account_value,reward,actions,n_shares
0,13654025.535080306,63633.7121874392,"[   0  -30   87    0  100   29    0    0  -14  100   14   55   43   89
    0    0  100   42    0 -100    2 -100   95 -100  100    0   26 -100
  -70   66]","[  0  30 373   0   0   0   0   0 124   0   0   0   0   0   0   0  44   0
 786 171 268 144   1 339   5   0   0 295  70 246]"
1,13717659.247267745,-323722.21707597375,"[   0    0  100    0   28    0  100    0  100   90  -14    0   98  -51
    0    0    0    0    0  -71 -100  -44  -96    0 -100    7  -26  -48
    0    0]","[  0   0 460   0 100  29   0   0 110 100  14  55  43  89   0   0 144  42
 786  71 270  44  96 239 105   0  26 195   0 312]"
2,13393937.030191772,-141550.85549970903,"[   0    0    0    0    3    0   53    0  -23    0    0  -55    1    0
    0    0 -100    0  100    0  -15    0    0 -100    0   -7    0  100
    0 -100]","[  0   0 560   0 128  29 100   0 210 190   0  55 141  38   0   0 144  42
 786   0 170   0   0 239   5   7   0 147   0 312]"
3,13252386.174692063,23745.56620126404,"[   0    0 -100    0    0  -20  -51    1 -100  -78    0    0    0    0
    0    0  -44    0  -76    0    0    0    0    0    6    2    0  -22
   82    0]","[  0   0 560   0 131  29 153   0 187 190   0   0 142  38   0   0  44  42
 886   0 155   0   0 139   5   0   0 247   0 212]"
4,13276131.740893327,-40121.638980742544,"[   0   93  -12    0   72   -9 -100   39  -87 -100   23    0  -93   -6
    0    5    0  -40  -41    0 -100    0    0    6   12   -2    0   60
   22   88]","[  0   0 460   0 131   9 102   1  87 112   0   0 142  38   0   0   0  42
 810   0 155   0   0 139  11   2   0 225  82 212]"
5,13236010.101912584,761.0394853502512,"[   0  -89    0    0    0    0   -2  -31    8  -12    8    0  -49   -1
  100   -5  100    0 -100    0  -55    0    0    0    0    0    0    4
    0    0]","[  0  93 448   0 203   0   2  40   0  12  23   0  49  32   0   5   0   2
 769   0  55   0   0 145  23   0   0 285 104 300]"
6,13236771.141397934,-57928.41861016676,"[   0    0 -100    0    0    0    0   -4    0    0    0    0    0  -31
    0    0 -100    0    0    0    4    0    0  -40  -23    0    0 -100
   38    0]","[  0   4 448   0 203   0   0   9   8   0  31   0   0  31 100   0 100   2
 669   0   0   0   0 145  23   0   0 289 104 300]"
7,13178842.722787768,167191.32770378143,"[  0   0 100   0 100   0   2  -5  -8  97 -31 100   0   0  81   0   0 100
   0   0  -4   0   0 -98   0  81   0 -37   0   2]","[  0   4 348   0 203   0   0   5   8   0  31   0   0   0 100   0   0   2
 669   0   4   0   0 105   0   0   0 189 142 300]"
8,13346034.05049155,-239975.54579759203,"[   0   -4    0    0    3    0    0    0    0  -97    0    0    0    0
  -59    0    0  -71    0   94    0    0    0   -7    0    7    0    0
  -14 -100]","[  0   4 448   0 303   0   2   0   0  97   0 100   0   0 181   0   0 102
 669   0   0   0   0   7   0  81   0 152 142 302]"
9,13106058.504693957,127233.81340141222,"[   0    0    0    0 -100    0   -2    8    0    0    0    0    2    0
 -100    0    0  -27 -100  -94    0    0    0    0    0  100    0    1
   97  -55]","[  0   0 448   0 306   0   2   0   0   0   0 100   0   0 122   0   0  31
 669  94   0   0   0   0   0  88   0 152 128 202]"
10,13233292.31809537,-268459.3897853382,"[   0    0 -100    0  -65  100    0   -8   31    0    2  -80   -2    0
    1    0    0   -4    0    0    0    0    0    0  100  -29    0   -8
    0    0]","[  0   0 448   0 206   0   0   8   0   0   0 100   2   0  22   0   0   4
 569   0   0   0   0   0   0 188   0 153 225 147]"
11,12964832.928310031,-96092.76477943547,"[   0    0    0    1 -100    0    0    0    0    0   48  -20    0    0
  100    0    0  100  100    0  100    0    0    0  -65 -100    0  -59
 -100    1]","[  0   0 348   0 141 100   0   0  31   0   2  20   0   0  23   0   0   0
 569   0   0   0   0   0 100 159   0 145 225 147]"
12,12868740.163530596,-50783.5683751367,"[   0    0    0    0    0    0    0    0  -31    0    0    0    0    0
  -34    0    0    0 -100    0 -100    0    0    0    0    9    1  -78
    0   89]","[  0   0 348   1  41 100   0   0  31   0  50   0   0   0 123   0   0 100
 669   0 100   0   0   0  35  59   0  86 125 148]"
13,12817956.595155459,794.2265661023557,"[  4   0   0  -1 -39 -25  72   0   0   0 -33   1   0   0   0   0 100   0
 100   0   0   0   0   0   0 -68  -1  -8  -5 -20]","[  0   0 348   1  41 100   0   0   0   0  50   0   0   0  89   0   0 100
 569   0   0   0   0   0  35  68   1   8 125 237]"
14,12818750.821721561,69149.80388000421,"[  -4    0 -100    0  100  -75  -72    0    0    0  -17  100    0    0
    1    0    0  -50  100    0    0    0    0    0    0  100  100    0
   79    0]","[  4   0 348   0   2  75  72   0   0   0  17   1   0   0  89   0 100 100
 669   0   0   0   0   0  35   0   0   0 120 217]"
15,12887900.625601565,39988.94162609801,"[   0    0  -45    0    0    0    0    0    0    0    6 -100    0   13
    1    0    0    0  100    0    0    0    0    0    0    5 -100  100
    0    0]","[  0   0 248   0 102   0   0   0   0   0   0 101   0   0  90   0 100  50
 769   0   0   0   0   0  35 100 100   0 199 217]"
16,12927889.567227663,136329.59343499877,"[   0    0    0    0    4    0    0    0    0    0   -6    0    0   -7
    2    0  -47  -50 -100   72    0    0  100    0  -31  -18  100   -8
    0  -99]","[  0   0 203   0 102   0   0   0   0   0   6   1   0  13  91   0 100  50
 869   0   0   0   0   0  35 105   0 100 199 217]"
17,13064219.160662662,-374625.8648464959,"[   0    9    0    0    0    0    0    0    0    0    0   -1    0    0
    0    0  -43    0  -94    0    0    0    0    0   -4    0 -100   10
   22   -5]","[  0   0 203   0 106   0   0   0   0   0   0   1   0   6  93   0  53   0
 769  72   0   0 100   0   4  87 100  92 199 118]"
18,12689593.295816166,207405.24118092284,"[   0   -9  -37    0    0    0    0    0    0    0    0    0    1    0
    0    0  -10    0    0  -15    0    0    0    0    3  -75    0   -1
   37 -100]","[  0   9 203   0 106   0   0   0   0   0   0   0   0   6  93   0  10   0
 675  72   0   0 100   0   0  87   0 102 221 113]"
19,12896998.53699709,3520.1801990363747,"[  84   60  -37    0  -22    0    0  100    0   25    0   35   94    5
  -41  100   65   44  100  -57    0    0 -100    0  100  -12   26   56
  -80  -13]","[  0   0 166   0 106   0   0   0   0   0   0   0   1   6  93   0   0   0
 675  57   0   0 100   0   3  12   0 101 258  13]"
20,12900518.717196126,-5825.780847778544,"[   0    0  -48    0   -8    0    0  -42    0   -7    0  -35    0    0
  -52 -100    0    0 -100    0    0   24    0    0    0    4  -26 -100
   96    0]","[ 84  60 129   0  84   0   0 100   0  25   0  35  95  11  52 100  65  44
 775   0   0   0   0   0 103   0  26 157 178   0]"
21,12894692.936348347,151898.99846716225,"[-26   0 -81   0   0  14   0 -39   0 -18   0   0   0   1   0   0  -1   0
 100   0   0  -1   0 100   0   5   0 -31   0   0]","[ 84  60  81   0  76   0   0  58   0  18   0   0  95  11   0   0  65  44
 675   0   0  24   0   0 103   4   0  57 274   0]"
22,13046591.93481551,4940.33650650084,"[  0 -15   0   0 -49   5   0 -19   0   0   0   0   1   0   0   0 -28 100
 100 100   0 -23   0 -59 -34 100   1 -26 -67   0]","[ 58  60   0   0  76  14   0  19   0   0   0   0  95  12   0   0  64  44
 775   0   0  23   0 100 103   9   0  26 274   0]"
23,13051532.27132201,178800.64427388087,"[-58 -45   0   0 100   0   0   0   0   0   0   0 -96   0   0   0   0   0
  69   0 100   0   0 -41   0   1   0   0 -12   0]","[ 58  45   0   0  27  19   0   0   0   0   0   0  96  12   0   0  36 144
 875 100   0   0   0  41  69 109   1   0 207   0]"
24,13230332.915595891,21609.877987427637,"[   0    0    0    0  -34    1    0    0    0    0    0    0    0    0
    3    0  -36 -100 -100   47  -17    0    0    0    0    4  100    0
    0    0]","[  0   0   0   0 127  19   0   0   0   0   0   0   0  12   0   0  36 144
 944 100 100   0   0   0  69 110   1   0 195   0]"
25,13251942.793583319,95660.28109208494,"[100   0   0   0 100  16   0  79 100   0   0  25   0 -12  -3   0  41 100
  45 -97 -79   6   0 100  35 -87 -43   0 -13   0]","[  0   0   0   0  93  20   0   0   0   0   0   0   0  12   3   0   0  44
 844 147  83   0   0   0  69 114 101   0 195   0]"
26,13347603.074675404,-1082.7660757433623,"[ 100    0    0  100    0  -36    0    0    0    0    6  -25    0    0
    0    0  100    0 -100  -40    9    0    0    0    0  100    0    0
    0    0]","[100   0   0   0 193  36   0  79 100   0   0  25   0   0   0   0  41 144
 889  50   4   6   0 100 104  27  58   0 182   0]"
27,13346520.30859966,-147734.9395483099,"[100   0   0 -85 -42   4  27 100   0   0   0   0   0   0   0   0 -72 -35
 100 -10 -13  -6   0   0   0   0 -29   3   0   0]","[200   0   0 100 193   0   0  79 100   0   6   0   0   0   0   0 141 144
 789  10  13   6   0 100 104 127  58   0 182   0]"
28,13198785.36905135,-32916.12785690278,"[-89   0  90  -8 -49   0 -22   0 -49   0   0   0   0   0   0   0 -69 100
   0  30   1   0 100 -82   0   1 -29  86   0   0]","[300   0   0  15 151   4  27 179 100   0   6   0   0   0   0   0  69 109
 889   0   0   0   0 100 104 127  29   3 182   0]"
29,13165869.241194448,80382.6525571756,"[100   0 -90 100 100  -4   0   0   0   0  -6   0   1   0   0  62   0   0
 -62 -12  -1   0 100   3 -91   4 100 -71 -33   0]","[211   0  90   7 102   4   5 179  51   0   6   0   0   0   0   0   0 209
 889  30   1   0 100  18 104 128   0  89 182   0]"
30,13246251.893751623,-39478.149997482076,"[ -84    0    0  -43 -100    2    0    0  -51    0    0    0   -1    0
    0   51  100 -100    0  -18  100    0    0  100  -13  -71  -19  -18
    0    0]","[311   0   0 107 202   0   5 179  51   0   0   0   1   0   0  62   0 209
 827  18   0   0 200  21  13 132 100  18 149   0]"
31,13206773.743754141,259863.6569582522,"[-100    1    0   -8   80   -2    0  -41  100   61    0    0    0  100
   94  -81  100    0  100   92  -73    0 -100 -100    0  -38  100    0
  -48    0]","[227   0   0  64 102   2   5 179   0   0   0   0   0   0   0 113 100 109
 827   0 100   0 200 121   0  61  81   0 149   0]"
32,13466637.400712393,185473.56247258,"[  0  -1   0   0   0   0  -3 -41   0 -61   0   0   0  81   0   0   0 -22
 100 100 100 100 -15 -21 100 100 -19   1 -97 100]","[127   1   0  56 182   0   5 138 100  61   0   0   0 100  94  32 200 109
 927  92  27   0 100  21   0  23 181   0 101   0]"
33,13652110.963184973,-162300.82353834435,"[ -35    0    0  -56    3    0    0  -97  -87    0    0    0    0  -12
    1  -32  -29    0    0    0 -100    0  -85    0 -100  100  -42    3
   85 -100]","[ 127    0    0   56  182    0    2   97  100    0    0    0    0  181
   94   32  200   87 1027  192  127  100   85    0  100  123  162    1
    4  100]"
34,13489810.139646629,-104765.34362792969,"[   0    0    0  100    0    0  100    0  -13    0    0    0    0   -8
   -8   67 -100  -87  100    0  -27    1  100    0    0  100 -100   -4
  -89    0]","[  92    0    0    0  185    0    2    0   13    0    0    0    0  169
   95    0  171   87 1027  192   27  100    0    0    0  223  120    4
   89    0]"
35,13385044.7960187,-209067.36413162202,"[ -79   26   22  -14  -59  100 -100   88   75    6    4    0    0  -86
  -68  100  -13    0 -100   27    0 -100   58    0   11   34  -20    0
    0    0]","[  92    0    0  100  185    0  102    0    0    0    0    0    0  161
   87   67   71    0 1127  192    0  101  100    0    0  323   20    0
    0    0]"
36,13175977.431887077,-65104.703562499955,"[  0   0 -22 -21   0 -27  -2 -31   1   3   0   0   0   0 -19   0 -46   0
   0   0   0  -1 -10   0 -11 100   0   0  32   0]","[  13   26   22   86  126  100    2   88   75    6    4    0    0   75
   19  167   58    0 1027  219    0    1  158    0   11  357    0    0
    0    0]"
37,13110872.728324577,106578.84128062427,"[-13 -26   0 -10   2   0   1 -57   1  -9  24 100   1   0   0   0   0 100
 100 -67   0   0   0   0   0   1 100 100 -32   0]","[  13   26    0   65  126   73    0   57   76    9    4    0    0   75
    0  167   12    0 1027  219    0    0  148    0    0  457    0    0
   32    0]"
38,13217451.569605201,-223261.778559722,"[  0   0   0 -55 -18 -27  -1   0 -16   0 -27 -16  -1   0   0   0   0 -57
 -81   0   0   0 -61   0   0  10   6 -24  61 100]","[   0    0    0   55  128   73    1    0   77    0   28  100    1   75
    0  167   12  100 1127  152    0    0  148    0    0  458  100  100
    0    0]"
39,12994189.79104548,-10437.4906540066,"[   0    3    0    0 -100  -46    0    0  -41    0   -1  -14    0  -72
    0  -52  -12  -16    0    1    0    0  -55    0    0 -100  -90    9
   48  100]","[   0    0    0    0  110   46    0    0   61    0    1   84    0   75
    0  167   12   43 1046  152    0    0   87    0    0  468  106   76
   61  100]"
40,12983752.300391473,-150360.51016482525,"[  0   0   0   0   0   0   0   0 -20   0   0  -9   0   0   0 -13   0   0
   0   0   0   0 -32   0   0  10 -16 -22   0  59]","[   0    3    0    0   10    0    0    0   20    0    0   70    0    3
    0  115    0   27 1046  153    0    0   32    0    0  368   16   85
  109  200]"
41,12833391.790226648,-6378.55264239572,"[   0    0    0    5    0    0   80    0    0    0    0  -61    0   -3
    0    0  100  -27  100  -91    0    0    0    0  100 -100    0    4
  -50  100]","[   0    3    0    0   10    0    0    0    0    0    0   61    0    3
    0  102    0   27 1046  153    0    0    0    0    0  378    0   63
  109  259]"
42,12827013.237584252,-103729.63250125013,"[  0   1   0  -5   0   4   7   0   0   0   0   0   0   0   0   0 100   0
   0   0   0   0 100   0 100 -26 100 -55 -41 -38]","[   0    3    0    5   10    0   80    0    0    0    0    0    0    0
    0  102  100    0 1146   62    0    0    0    0  100  278    0   67
   59  359]"
43,12723283.605083002,-206524.82052603178,"[  0   0   0   0 -10  -4   0   0   0   0   0   0   0   0   0  -7   0   0
  74   0   0   0  -7   0   0 -68   0  -5   0   0]","[   0    4    0    0   10    4   87    0    0    0    0    0    0    0
    0  102  200    0 1146   62    0    0  100    0  200  252  100   12
   18  321]"
44,12516758.78455697,-257456.63437527418,"[   0    0    0    0    0    0    0    0  100    0    0    5    1  100
    0   24 -100    0  100    0    0    0  100  100 -100 -100  -79   -7
    0  -69]","[   0    4    0    0    0    0   87    0    0    0    0    0    0    0
    0   95  200    0 1220   62    0    0   93    0  200  184  100    7
   18  321]"
45,12259302.150181696,136606.69440063462,"[   0   -4    0    0    0    0    0    0 -100    0    0    0   -1    0
    0    0  -10    0    6   27    0    0    0 -100  -31  100  100    0
   -6    0]","[   0    4    0    0    0    0   87    0  100    0    0    5    1  100
    0  119  100    0 1320   62    0    0  193  100  100   84   21    0
   18  252]"
