,account_value,reward,actions,n_shares
0,8948202.950541848,106368.07859213278,"[ -8  19  41 -53  22 -40  30 -61 -14  54   3   0 -34 -73   0  95 -32  -5
  61   0   0 -88   9   0 -46 -55 -53  26 -73 -11]","[  8 130  90 210 209 243   0 143  97   0  35   0 181 430   0   0  32   5
   0   0   0 181   0   0  46  55  71 129  83  11]"
1,9054571.029133981,133085.95783972368,"[  0 -67   0   0   0   0 -30  94  89 -36  28   0   0   0   0   0   0   0
   0   0   0   0   0  30   0   0 -18   4 -10   0]","[  0 149 131 157 231 203  30  82  83  54  38   0 147 357   0  95   0   0
  61   0   0  93   9   0   0   0  18 155  10   0]"
2,9187656.986973705,12577.351461013779,"[  0   0   0  27   0 -91   0   0  -1   0   0   0   0  -6   0   0  89   0
 -60   0   0 -83  -9   0   0   0   0 -99   0   0]","[  0  82 131 157 231 203   0 176 172  18  66   0 147 357   0  95   0   0
  61   0   0  93   9  30   0   0   0 159   0   0]"
3,9200234.338434719,-35642.880682785064,"[  0 -73   0  92 -24   0   0  84 -40 -18   7   0   0   0   0 -78  84   0
   0   0  13   0   0 -30  82   0   0   1   0   0]","[  0  82 131 184 231 112   0 176 171  18  66   0 147 351   0  95  89   0
   1   0   0  10   0  30   0   0   0  60   0   0]"
4,9164591.457751933,394184.8559084311,"[ 99   0 -83  98 -96   0   0   0 -16   0 -11   0  -6 -91   0 -17   0   0
   0  92 -13 -10   0   0  -1   0   0 -53   0   0]","[  0   9 131 276 207 112   0 260 131   0  73   0 147 351   0  17 173   0
   1   0  13  10   0   0  82   0   0  61   0   0]"
5,9558776.313660365,198654.6154673323,"[ 83  -9 -48 -39  68 -81   0  10 -84   0   3  86 -51 -75  65  17 -68  34
  65 -52  43   0  81  83  59  59  16  28   0   0]","[ 99   9  48 374 111 112   0 260 115   0  62   0 141 260   0   0 173   0
   1  92   0   0   0   0  81   0   0   8   0   0]"
6,9757430.929127697,-55970.45080715977,"[  0   0   0 -74   0  17   0 -79   0   0   0 -41 -71   0   3  -9   0 -20
 -66  87 -43   0 -81 -57 -10 -27   0 -24   0   0]","[182   0   0 335 179  31   0 270  31   0  65  86  90 185  65  17 105  34
  66  40  43   0  81  83 140  59  16  36   0   0]"
7,9701460.478320537,-248417.95744781382,"[-79   0   0   0 -31   0   0   0   0   0   0 -45 -19 -77   0  49  -2   0
   0   0   0   1   2 -26   0 -32   0   1   0   0]","[182   0   0 261 179  48   0 191  31   0  65  45  19 185  68   8 105  14
   0 127   0   0   0  26 130  32  16  12   0   0]"
8,9453042.520872723,43224.45103680529,"[ 60   0  62 -99  45  89   0  55 -31   0 -65   0  54  89 -68 -57 -91 -13
   0 -84   0  36  -2  58  63  27 -16  25   0  76]","[103   0   0 261 148  48   0 191  31   0  65   0   0 108  68  57 103  14
   0 127   0   1   2   0 130   0  16  13   0   0]"
9,9496266.971909529,109571.92746237479,"[  2  97 -62 -38 -18 -30  97   0   0   0  59   0 -54   0   0   0 -12   0
   0   0   0 -37   0 -58   0 -27   1 -38   0 -76]","[163   0  62 162 193 137   0 246   0   0   0   0  54 197   0   0  12   1
   0  43   0  37   0  58 193  27   0  38   0  76]"
10,9605838.899371903,-185898.44973437488,"[-17  83   0   0 -14 -87   0   0   0   0   0   0   0 -82  90   0   0   0
   0 -43   0   0   0   0 -97   0   2  82  44   1]","[165  97   0 124 175 107  97 246   0   0  59   0   0 197   0   0   0   1
   0  43   0   0   0   0 193   0   1   0   0   0]"
