,account_value,reward,actions,n_shares
0,22655214.14713519,-43934.823383208364,"[   0    0    0    0    0    0    0    0    0    0    0 -100    0    0
    0    0    0    0    0    0    0    0    0    0  -62    2    5 -100
   12    0]","[ 254    0    0    0    0    0    0    0    0    0    0  155  205    0
    0    0    0    0    0    0    0    0    0    0 2576  981   28 1759
  144    0]"
1,22611279.323751982,-366226.6806593314,"[   0    0    0    0    0    0    0    0    0    0    0  -55    0    0
    0    0    0    0    0    0    0   11    0    0    0    3    0 -100
    3    0]","[ 254    0    0    0    0    0    0    0    0    0    0   55  205    0
    0    0    0    0    0    0    0    0    0    0 2514  983   33 1659
  156    0]"
2,22245052.64309265,-198266.0092685856,"[ -93    0    0    0    0    0    0    0    0    0    0    0    0    0
    1    0    1    0    1    0    0    0    0    0  -54   -5    0 -100
   13    0]","[ 254    0    0    0    0    0    0    0    0    0    0    0  205    0
    0    0    0    0    0    0    0   11    0    0 2514  986   33 1559
  159    0]"
3,22046786.633824065,-16565.498762909323,"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0   -1    0    0    0    0    0    0    9    6 -100
    8    0]","[ 161    0    0    0    0    0    0    0    0    0    0    0  205    0
    1    0    1    0    1    0    0   11    0    0 2460  981   33 1459
  172    0]"
4,22030221.135061156,-187101.02780938894,"[ -51    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0  100   82 -100
    0    0]","[  61    0    0    0    0    0    0    0    0    0    0    0  205    0
    1    0    1    0    0    0    0   11    0    0 2460  990   39 1359
  180    0]"
5,21843120.107251767,8445.454380221665,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   -8    1    7 -100
    1    0]","[  10    0    0    0    0    0    0    0    0    0    0    0  205    0
    1    0    1    0    0    0    0   11    0    0 2460 1090  121 1259
  180    0]"
6,21851565.56163199,371974.54349743575,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1    0   41    0    0    0    0    1    0    0  -29  -92    0 -100
   -6    0]","[  10    0    0    0    0    0    0    0    0    0    0    0  205    0
    1    0    1    0    0    0    0   11    0    0 2452 1091  128 1159
  181    0]"
7,22223540.105129424,-1978.8351581431925,"[ -10    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    1    0    0  -34 -100    6 -100
    5    0]","[  10    0    0    0    0    0    0    0    0    0    0    0  205    0
    2    0   42    0    0    0    0   12    0    0 2423  999  128 1059
  175    0]"
8,22221561.26997128,819691.7384581007,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0  -17  -87   13 -100
    2    0]","[   0    0    0    0    0    0    0    0    0    0    0    0  205    0
    2    0   42    0    0    0    0   13    0    0 2389  899  134  959
  180    0]"
9,23041253.008429382,-143045.4992006831,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1    0    0    0    0    0    0    0    0    0    0  -48   11 -100
    0    0]","[   0    0    0    0    0    0    0    0    0    0    0    0  205    0
    2    0   42    0    0    0    0   13    0    0 2372  812  147  859
  182    0]"
10,22898207.5092287,-12939.898353975266,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1    0    0    0    0    0    0    0    0    0    0    2    8 -100
    0    0]","[   0    0    0    0    0    0    0    0    0    0    0    0  205    0
    3    0   42    0    0    0    0   13    0    0 2372  764  158  759
  182    0]"
