,account_value,reward,actions,n_shares
0,12936420.685873717,-117471.16526152007,"[  0  -4 -32 -17  86  -8   0  72  -6   0   0   0 -12   8   1   0 -57   0
   0   0 -72   0   0  96  -3   0 -28 -47  41   0]","[  0 220  83  17 126 125   0   7   6   0   0   0  12  36  63   0  86   0
 280   0  72  71   0 302 140   0  77  84 141  48]"
1,12818949.520612197,28367.78092335537,"[  0  54  -2   0 -17 -31   0  86   0   0   0   0   0 -44 -53  87   0   0
   0  47   3   0   0 -47   0   0  61  71 -63 -48]","[  0 216  51   0 212 117   0  79   0   0   0   0   0  44  64   0  29   0
 280   0   0  71   0 398 137   0  49  37 182  48]"
2,12847317.301535552,161522.99837384,"[  0   0  73   0   0  77   0  82   0   5   0  94   0   0 -11  28 -29   0
  79 -47  -3 -52   0 -48  76   0 -57  13 -12   0]","[  0 270  49   0 195  86   0 165   0   0   0   0   0   0  11  87  29   0
 280  47   3  71   0 351 137   0 110 108 119   0]"
3,13008840.299909392,-67958.0382532943,"[  0   9 -19   0 -30 -18   0 -33   0  -5   0   0   0   0   0   0   0   0
   0   0   0 -19   0 -45 -91   4 -53   0  26   0]","[  0 270 122   0 195 163   0 247   0   5   0  94   0   0   0 115   0   0
 359   0   0  19   0 303 213   0  53 121 107   0]"
4,12940882.261656098,307726.3027700186,"[  0  94   0   0  -2 -53  41  48  63   0   0  -4   0  82   0 -72   0   0
  79   0   0   0   5 -45  59  -4   0 -88  -7   0]","[  0 279 103   0 165 145   0 214   0   0   0  94   0   0   0 115   0   0
 359   0   0   0   0 258 122   4   0 121 133   0]"
5,13248608.564426117,-135765.97218084708,"[  0  76   1  84 -84 -43  45 -67  43   0   0 -90  31 -12   1 -43  16   0
  -9  43   0  79  92  81  66   3  66  73 -67  55]","[  0 373 103   0 163  92  41 262  63   0   0  90   0  82   0  43   0   0
 438   0   0   0   5 213 181   0   0  33 126   0]"
6,13112842.59224527,156002.69919378683,"[  0   0   0 -50   0  10 -68 -22   0   0  62   0   0   1  -1   0  95   0
   0 -28  79 -35   0   0 -20  -3 -66   0 -59   0]","[  0 449 104  84  79  49  86 195 106   0   0   0  31  70   1   0  16   0
 429  43   0  79  97 294 247   3  66 106  59  55]"
7,13268845.291439056,221130.92382283136,"[ 64  61  57 -34  35   0 -18  62 -21  87   0  56 -31  60   0   0  -8   0
 -99 -15  48 -44  35 -66 -36  91  25 -18  10 -55]","[  0 449 104  34  79  59  18 173 106   0  62   0  31  71   0   0 111   0
 429  15  79  44  97 294 227   0   0 106   0  55]"
8,13489976.215261888,-2504.312429809943,"[  0 -10 -16   0 -27  -6   0  96   0 -87   0 -20   0 -90   0  66   0   0
   0   0 -87   0 -11   0 -70  12   7 -48   0   0]","[ 64 510 161   0 114  59   0 235  85  87  62  56   0 131   0   0 103   0
 330   0 127   0 132 228 191  91  25  88  10   0]"
9,13487471.902832078,-57796.88622125238,"[ -8 -14 -67   0 -16  80   0   0 -17   0   0  66  78   0   0 -45 -83   0
  65   0  86  94  78  61  72 -93  74 -40  -3   0]","[ 64 500 145   0  87  53   0 331  85   0  62  36   0  41   0  66 103   0
 330   0  40   0 121 228 121 103  32  40  10   0]"
10,13429675.016610825,-44350.4204825405,"[ 33  19 -14   0  27 -77   0  35  68   0 -62  64  38  -9   0  26 -20  35
 -40  15  69  94  37 -56  -7 -10 -56   0  -7  83]","[ 56 486  78   0  71 133   0 331  68   0  62 102  78  41   0  21  20   0
 395   0 126  94 199 289 193  10 106   0   7   0]"
11,13385324.596128285,409425.1916055903,"[  0 -14 -64   0   8  -6   0 -80 -28   0   0   0  -8 -32  65 -47   0 -35
  -8  99 -69   1  -3  -5 -89   0   0   0  27  58]","[ 89 505  64   0  98  56   0 366 136   0   0 166 116  32   0  47   0  35
 355  15 195 188 236 233 186   0  50   0   0  83]"
12,13794749.787733875,47459.03269104101,"[-40 -13   0  94  59   0   0 -72   1   0   0   0  98   0   0  92   0  86
   0 -24 -94 -11 -46 -57   0   0 -50   0 -27   0]","[ 89 491   0   0 106  50   0 286 108   0   0 166 108   0  65   0   0   0
 347 114 126 189 233 228  97   0  50   0  27 141]"
13,13842208.820424916,46605.78599084541,"[-49   0   0   0   0   0   0  86 -11   0   0   0 -96   0  98  20  77 -35
   0   0   0 -16  92   0 -53   8   2   0   0 -99]","[ 49 478   0  94 165  50   0 214 109   0   0 166 206   0  65  92   0  86
 347  90  32 178 187 171  97   0   0   0   0 141]"
14,13888814.606415762,-48883.71320849657,"[  3  26   0  19 -70  51  52 -34 -39   0  13 -38  80  42  75 -92 -77  15
  36 -25  31 -83 -70  27 -10  40  53  40   0  65]","[  0 478   0  94 165  50   0 300  98   0   0 166 110   0 163 112  77  51
 347  90  32 162 279 171  44   8   2   0   0  42]"
15,13839930.893207265,30603.126066939905,"[ -3   0   0  86 -33 -44  85   0 -12   0 -13   0 -17 -35   1 -20   0 -44
 -79  22   0  98 -18 -48 -13 -48  14   1   0 -14]","[  3 504   0 113  95 101  52 266  59   0  13 128 190  42 238  20   0  66
 383  65  63  79 209 198  34  48  55  40   0 107]"
16,13870534.019274205,234592.1233195495,"[  0   0  93 -76 -62  -1   0  98  70   0   0   0  89   0 -81   0   0 -22
   0 -14 -53  88  70   0  75   0  23 -17   0 -25]","[  0 504   0 199  62  57 137 266  47   0   0 128 173   7 239   0   0  22
 304  87  63 177 191 150  21   0  69  41   0  93]"
17,14105126.142593754,122305.96285975724,"[  0   0   0   0   0  90 -11  13 -73   0   0 -10 -61   0 -42   0   0   0
  64   6 -10 -81 -57 -57   0   3   0  96   0   0]","[  0 504  93 123   0  56 137 364 117   0   0 128 262   7 158   0   0   0
 304  73  10 265 261 150  96   0  92  24   0  68]"
18,14227432.105453512,33328.8223676905,"[  0   2 -59 -76   0   9 -61 -59 -44   6   0 -71 -82  -7   6  66   0  78
 -16  -8  49 -14 -63 -54 -76  -3  80  76   0  92]","[  0 504  93 123   0 146 126 377  44   0   0 118 201   7 116   0   0   0
 368  79   0 184 204  93  96   3  92 120   0  68]"
19,14260760.927821202,-65879.97113668919,"[ 97   0 -34  18   0   0 -65 -30  87  -6   0   0   0   0 -64 -44   0 -73
 -60   0 -36 -97 -95   0 -20   0   1  -3  97 -46]","[  0 506  34  47   0 155  65 318   0   6   0  47 119   0 122  66   0  78
 352  71  49 170 141  39  20   0 172 196   0 160]"
20,14194880.956684513,-108578.00245265104,"[  9 -11   0   0   0 -27  94   0 -87   0  20 -16   1  90   0   0   0   0
   0 -69 -13   1 -25   0   0   0   0 -51  -5 -38]","[ 97 506   0  65   0 155   0 288  87   0   0  47 119   0  58  22   0   5
 292  71  13  73  46  39   0   0 173 193  97 114]"
21,14086302.954231862,1026.2961274571717,"[ 91  87   0  92   2  24 -80  10  36  68 -20 -10  96  -6  43   7   0  -5
   3  -2  31  40  77 -32   0   0 -64 -19   8  24]","[106 495   0  65   0 128  94 288   0   0  20  31 120  90  58  22   0   5
 292   2   0  74  21  39   0   0 173 142  92  76]"
22,14087329.25035932,-293057.2370782308,"[ 49   0   0 -55  76  61   0  -6  93 -68   0 -21  45  98   1 -29   0   0
  55   0   0  92 -72  41   0   0  46 -73   0   0]","[197 582   0 157   2 152  14 298  36  68   0  21 216  84 101  29   0   0
 295   0  31 114  98   7   0   0 109 123 100 100]"
23,13794272.013281088,-18332.548188766465,"[ -8   0  63   0 -19  45   0  -8  82   0   0   0   0  -3 -25   0   0   0
 -59   0   1 -93   0 -48   0   4 -98 -35   0   0]","[246 582   0 102  78 213  14 292 129   0   0   0 261 182 102   0   0   0
 350   0  31 206  26  48   0   0 155  50 100 100]"
24,13775939.465092322,-43926.99098828249,"[  0 -18  99   0  99 -65 -14 -88 -79   0  21   0   0 -30   0   0  82   0
 -43   0   0 -87  96   0   0   6   0   0 -46   0]","[238 582  63 102  59 258  14 284 211   0   0   0 261 179  77   0   0   0
 291   0  32 113  26   0   0   4  57  15 100 100]"
