,account_value,reward,actions,n_shares
0,1065317.6139406175,-10111.31889443309,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0   -4    0    0    0    0   78   -1    1    0    0   -4    0 -100
    0  100]","[   0    0  198    0    0    0    0    0    0    0    0    0    0    0
    0  991    0    0  730    0  461    1    0    0    0    4    0 3188
    0 1795]"
1,1055206.2950461844,28239.175185271306,"[   0    0  -44    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    1   90    0   -1    0    0    0    0 -100
    0  100]","[   0    0  198    0    0    0    0    0    0    0    0    0    0    0
    0  987    0    0  730    0  539    0    1    0    0    0    0 3088
    0 1895]"
2,1083445.4702314558,2036.8278100052848,"[   0    0 -100    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    1    0    0    0    0    0    0    0   53 -100
    0  100]","[   0    0  154    0    0    0    0    0    0    0    0    0    0    0
    0  987    0    0  730    1  629    0    0    0    0    0    0 2988
    0 1995]"
3,1085482.298041461,9615.351211395115,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0  19 -64   0 100]","[   0    0   54    0    0    0    0    0    0    0    0    0    0    0
    0  987    0    0  731    1  629    0    0    0    0    0   53 2888
    0 2095]"
4,1095097.6492528562,10446.668371540261,"[   0    0  -54    0    0    0    0    0    0    0    0    0    0    0
    0  -23    0    0    0   77  100    0    2    0    0    0  -12 -100
    0  100]","[   0    0   54    0    0    0    0    0    0    0    0    0    0    0
    0  987    0    0  731    1  629    0    0    0    0    0   72 2824
    0 2195]"
5,1105544.3176243964,5101.3544665316585,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  -63    0    0    0    0    0    0    5    0    0    0   53 -100
    0  100]","[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  964    0    0  731   78  729    0    2    0    0    0   60 2724
    0 2295]"
6,1110645.672090928,2041.0534855346195,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0   46    0  100    3    0    0    0    0 -100
    0  100]","[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  901    0    0  731   78  729    0    7    0    0    0  113 2624
    0 2395]"
7,1112686.7255764627,-4458.6599855269305,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  -37    0    0  -38    0    0    2    4    0    0    0   54 -100
    0  100]","[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  901    0    0  731  124  729  100   10    0    0    0  113 2524
    0 2495]"
8,1108228.0655909358,-22009.47398877726,"[  76    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  -31    0    0  100  100    0  -72    3    0    0    0    0 -100
    0  100]","[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  864    0    0  693  124  729  102   14    0    0    0  167 2424
    0 2595]"
9,1086218.5916021585,-5315.135698137339,"[   0    0   24    0    0    0    0    1    0    0    0    0    0    0
    0    0    0    0  100  100    0  -30  -17    0    0    0   -2 -100
    0  100]","[  76    0    0    0    0    0    0    0    0    0    0    0    0    0
    0  833    0    0  793  224  729   30   17    0    0    0  167 2324
    0 2695]"
