,account_value,reward,actions,n_shares
0,1098648.244447031,-11895.856315795798,"[-45   0  85   0  73   0  -7   9 -67  90  79   0  93   0 -94 -26   0   0
 -56 -96 -32  65 -76   0 -46 -83  82  98   0  91]","[722  14  81 794  47   0 506 444 132  89 224   0  32 403 475 196 131   0
  96 228  32 123 118 163 277 520 188  59   0   3]"
1,1086752.3881312353,-6979.409227663185,"[-53   0 -55   0   0   0   0   0   1  95 -54   0   0   0   0 -28 -36   0
 -40 -96  50 -35  95  87  83  99 -50   0   0   0]","[677  14 166 794 120   0 499 453  65 179 303   0 125 403 381 170 131   0
  40 132   0 188  42 163 231 437 270 157   0  94]"
2,1079772.978903572,-205.93518560403027,"[  1 -14  32  -8 -79   0 -14 -58  60 -70 -69  94 -46 -68  11 -40 -24   0
  98 -18  80   4  90 -50 -63  79 -38   4   0 -94]","[624  14 111 794 120   0 499 453  66 274 249   0 125 403 381 142  95   0
   0  36  50 153 137 250 314 536 220 157   0  94]"
3,1079567.043717968,3703.7448058966547,"[  0   0   2   0   0   0  85 -46   0   0   0  94 -30  99   0  96   0   0
  -4   0 -82 -80 -18 -86 -39 -71  82   0   1   0]","[625   0 143 786  41   0 485 395 126 204 180  94  79 335 392 102  71   0
  98  18 130 157 227 200 251 615 182 161   0   0]"
4,1083270.7885238647,-14563.079601325793,"[-19   0 -66 -23 -10   0 -57  21 -38  73 -30 -19  33 -85  45  25 -71   0
  25  35 -48  43  -3 -74  65 -76 -90 -46  35  22]","[625   0 145 786  41   0 570 349 126 204 180 188  49 434 392 198  71   0
  94  18  48  77 209 114 212 544 264 161   1   0]"
5,1068707.708922539,-4669.298421888379,"[ 70  55  75 -26 -31   0 -15  68 -29  29   0 -36 -16  18  39  65   0  32
  82 -53  98 -23 -51  23 -76  73  76   0 -36  58]","[606   0  79 763  31   0 513 370  88 277 150 169  82 349 437 223   0   0
 119  53   0 120 206  40 277 468 174 115  36  22]"
6,1064038.4105006505,9566.291976535693,"[-69  27  70 -37  85  29  49 -10 -59  12 -63  67 -14 -91  20 -95  53 -30
 -77  91 -15  51  -2  97 -84  -4  16   4   0 -61]","[676  55 154 737   0   0 498 438  59 306 150 133  66 367 476 288   0  32
 201   0  98  97 155  63 201 541 250 115   0  80]"
7,1073604.7024771862,-8696.861696105916,"[  0  73 -53 -59   7  90   0  87  59 -24   0  69 -52   1  69 -96  91  92
 -18 -39 -65 -35   0 -61 -72 -84 -22  89   0 -19]","[607  82 224 700  85  29 547 428   0 318  87 200  52 276 496 193  53   2
 124  91  83 148 153 160 117 537 266 119   0  19]"
8,1064907.8407810803,-2316.1507930525113,"[ 66  -6  -1  13   0   0  56   1   0  93   0   0   0   0 -73 -82 -14  63
   0  -5 -12   0 -40 -82  -1 -12 -15   0   0   0]","[607 155 171 641  92 119 547 515  59 294  87 269   0 277 565  97 144  94
 106  52  18 113 153  99  45 453 244 208   0   0]"
9,1062591.6899880278,14360.350498924032,"[ 38  52  35 -37 -34 -19  32  51 -59 -65 -28 -45   0  10  89 -15 -16 -98
 -64  33  -6  16   8 -17  98   6  16 -49  98  11]","[673 149 170 654  92 119 603 516  59 387  87 269   0 277 492  15 130 157
 106  47   6 113 113  17  44 441 229 208   0   0]"
10,1076952.0404869518,3406.6468858835287,"[  0  86 -31   0 -46 -49   0   0  76   0   0   0   0 -22 -28   0   0 -23
   0  84   0   1   0   0 -82 -66  91   0 -97 -11]","[711 201 205 617  58 100 635 567   0 322  59 224   0 287 581   0 114  59
  42  80   0 129 121   0 142 447 245 159  98  11]"
11,1080358.6873728354,-16545.315437503858,"[ 73 -10  46 -10 -12   3  62  81   0   0 -38  61   0 -79 -49   0  92   0
 -42 -50   0   1 -40   0   0   0   0 -62  -1   0]","[711 287 174 617  12  51 635 567  76 322  59 224   0 265 553   0 114  36
  42 164   0 130 121   0  60 381 336 159   1   0]"
12,1063813.3719353315,-28847.25247744366,"[-72 -85  75   1   0 -54   0 -33   0   0 -21  63   0 -36   0   0   0   0
  59 -50   0  -7  94   0  35  -9   0  52  99   1]","[784 277 220 607   0  54 697 648  76 322  21 285   0 186 504   0 206  36
   0 114   0 131  81   0  60 381 336  97   0   0]"
13,1034966.1194578878,13179.619058750104,"[  0 -33   0   0   0   0  68 -29 -76  65   0 -73   0 -59 -22   0  54   0
 -30  66  71 -53 -64   0  86  78 -30   5 -99   2]","[712 192 295 608   0   0 697 615  76 322   0 348   0 150 504   0 206  36
  59  64   0 124 175   0  95 372 336 149  99   1]"
14,1048145.7385166379,-18366.853254791233,"[ 83  16 -87 -37   0   0 -33 -22   0  -3   0  90   0   0 -89   0   0 -36
  -5 -79  76   0   4   0  86  75 -79   0   0   0]","[712 159 295 608   0   0 765 586   0 387   0 275   0  91 482   0 260  36
  29 130  71  71 111   0 181 450 306 154   0   3]"
15,1029778.8852618467,6204.079899608623,"[-82  98 -70  68   0   0 -18   0   0  89   0  47  93  76 -52   0 -98   0
 -17   2 -85  86 -18   0  72 -44 -81   0   0  -3]","[795 175 208 571   0   0 732 564   0 384   0 365   0  91 393   0 260   0
  24  51 147  71 115   0 267 525 227 154   0   3]"
16,1035982.9651614553,25431.770412378246,"[-31 -85   6 -65   0   0  36 -27   9 -50  22  73 -70  93 -53   1 -18   0
  85  28  -1 -47  31  40  33  13 -30 -14   0   2]","[713 273 138 639   0   0 714 564   0 473   0 412  93 167 341   0 162   0
   7  53  62 157  97   0 339 481 146 154   0   0]"
17,1061414.7355738336,-38399.36457364645,"[-79  69  90   0   0   0   0 -78   0 -32 -22 -10 -23 -25 -59  -1 -66  86
   0   1 -28 -93   2  16   0   0  71 -43   0  90]","[682 188 144 574   0   0 750 537   9 423  22 485  23 260 288   1 144   0
  92  81  61 110 128  40 372 494 116 140   0   2]"
18,1023015.3710001871,-1540.2168976383982,"[ 31 -57 -46  79   0  15  50 -35  76 -70   0 -64   0 -56 -28  93 -32   0
 -45 -26 -33  86  27 -56  51 -85 -18 -77   0 -91]","[603 257 234 574   0   0 750 459   9 391   0 475   0 235 229   0  78  86
  92  82  33  17 130  56 372 494 187  97   0  92]"
19,1021475.1541025487,2411.645887855557,"[ 35   0  13 -43   0  56  35  57  49 -68   0   0  39  67   0  95 -29  52
 -47 -56   0 -40 -31   0  82  -4 -37   0  87  65]","[634 200 188 653   0  15 800 424  85 321   0 411   0 179 201  93  46  86
  47  56   0 103 157   0 423 409 169  20   0   1]"
20,1023886.7999904043,33531.977410705644,"[-75   0   0   0   0   0 -10 -10   0   0   0 -30  42   0   0  -4   0 -82
   0   0   0  96   4  93   0 -48   0  93   0 -42]","[669 200 201 610   0  71 835 481 134 253   0 411  39 246 201 188  17 138
   0   0   0  63 126   0 505 405 132  20  87  66]"
21,1057418.77740111,-40868.72432898334,"[-86  33  73  47   0  43   7  77 -48 -47   2 -99 -59 -28  33 -33  98  10
  11  90  14  32  84  27 -30 -70 -21  96  87 -24]","[594 200 201 610   0  71 825 471 134 253   0 381  81 246 201 184  17  56
   0   0   0 159 130  93 505 357 132 113  87  24]"
22,1016550.0530721266,-7870.00620576099,"[ 84  -1 -39 -63   0 -17   0  96  98  89  -2  59   0  56  46 -67  44  57
 -11 -68  10   1 -86  76  -6 -88 -85  -7 -55   0]","[508 233 274 657   0 114 832 548  86 206   2 282  22 218 234 151 115  66
  11  90  14 191 214 120 475 287 111 209 174   0]"
23,1008680.0468663656,-18006.980206752778,"[-91  14  71  43  64  93 -27   0 -78 -66   0   0  19 -86  68 -53 -17  32
   0   0 -24  40  64   0 -14  52 -26 -22 -16   0]","[592 232 235 594   0  97 832 644 184 295   0 341  22 274 280  84 159 123
   0  22  24 192 128 196 469 199  26 202 119   0]"
24,990673.0666596128,-2873.8491632040823,"[ 82 -52   0 -90 -64 -61  92  -1  -4 -46   5   0  48 -54   1 -31 -17 -45
   0  37   0 -93 -76 -43  86  74   0  77 -84  58]","[501 246 306 637  64 190 805 644 106 229   0 341  41 188 348  31 142 155
   0  22   0 232 192 196 455 251   0 180 103   0]"
25,987799.2174964087,-17927.43262694939,"[ -8 -36  97  61  54 -61  -7  99 -24  67  -5 -66  44 -79 -80  95  45   0
   0 -34  50  42  96 -31 -63  77   0   9 -19 -58]","[583 194 306 547   0 129 897 643 102 183   5 341  89 134 349   0 125 110
   0  59   0 139 116 153 541 325   0 257  19  58]"
