,account_value,reward,actions,n_shares
0,1573110.6428105172,-2041.382555744145,"[   0    0    0    0 -100    0    0   -1  -80    0   63    0  100  -67
    0    0  100  -16  -20  -35    0  -24    1  100  100    0  -84    0
    0 -100]","[   0    0    0  501  212    0    0    1   80    0    0  277    0  198
  316    0  100   19  419  200  319   24 1643  137  699    0  522  862
  233 2504]"
1,1571069.260254773,-16411.088399059372,"[  94    0    0  100 -100   30    0   17    0    0  -63  -37   75 -100
 -100    2  -52   -3  100   16  -74   60  -13    3 -100   67  -18 -100
  100  100]","[   0    0    0  501  112    0    0    0    0    0   63  277  100  131
  316    0  200    3  399  165  319    0 1644  237  799    0  438  862
  233 2404]"
2,1554658.1718557137,1553.1864557762165,"[   0    0    0  100  100  100    0  -17    0  100    0    0    0    0
 -100   -2  100  100    0  100 -100  -60  100  100   21  -34    0    0
 -100    3]","[  94    0    0  601   12   30    0   17    0    0    0  240  175   31
  216    2  148    0  499  181  245   60 1631  240  699   67  420  762
  333 2504]"
3,1556211.35831149,-11208.779087223113,"[ -94   79    0  -60 -100 -100    0    1    0    0    0  -19  100  100
   -7    0 -100  100    0 -100    0  100 -100  -26  100  -33    0    0
  -55  100]","[  94    0    0  701  112  130    0    0    0  100    0  240  175   31
  116    0  248  100  499  281  145    0 1731  340  720   33  420  762
  233 2507]"
4,1545002.5792242668,-12086.569390983554,"[   0  -79    0  -12    0  -30    0   -1    0    0    0  100  100  -25
   76    0    1  -94    0    0 -100  -80  100  100    0    0    0  100
  -42  -29]","[   0   79    0  641   12   30    0    1    0  100    0  221  275  131
  109    0  148  200  499  181  145  100 1631  314  820    0  420  762
  178 2607]"
5,1532916.0098332833,2190.4539432527963,"[   0  100    0  100  -12    0  100    0    0    0    0  100    0  -33
   16    0  100  -46    0    0  -45  -20  -81  -68  -19    0 -100   -4
 -100  -62]","[   0    0    0  629   12    0    0    0    0  100    0  321  375  106
  185    0  149  106  499  181   45   20 1731  414  820    0  420  862
  136 2578]"
6,1535106.463776536,-1531.2393766823225,"[   0    0    0    0   31    0    0    0    0    0    0 -100 -100  100
  100  100 -100    0    0    0    0    0 -100  100  100    0  -55  -57
    1  100]","[   0  100    0  729    0    0  100    0    0  100    0  421  375   73
  201    0  249   60  499  181    0    0 1650  346  801    0  320  858
   36 2516]"
7,1533575.2243998537,3733.5762133330572,"[   0   84   43  -30   88    0    0  100    0 -100    0 -100  100 -100
    0    0 -100  -60    0  100    0    0  -30    0  -87    0  100  -67
  100  100]","[   0  100    0  729   31    0  100    0    0  100    0  321  275  173
  301  100  149   60  499  181    0    0 1550  446  901    0  265  801
   37 2616]"
8,1537308.8006131868,-696.8191085585859,"[   0   19  100  -28 -100    0 -100  100    0   93   16  -88   58  -73
 -100  100  -49    0  100   99   99  100  -59  -42  100    6  -60 -100
  -30   23]","[   0  184   43  699  119    0  100  100    0    0    0  221  375   73
  301  100   49    0  499  281    0    0 1520  446  814    0  365  734
  137 2716]"
9,1536611.9815046282,13472.497837402392,"[   0  -14   55    0  -19    0    0  -19    0  -93    0    0  -13    0
    0    0    0    0  100  -37  100  100  100 -100 -100  100    0 -100
 -100  100]","[   0  203  143  671   19    0    0  200    0   93   16  133  433    0
  201  200    0    0  599  380   99  100 1461  404  914    6  305  634
  107 2739]"
