,account_value,reward,actions,n_shares
0,1172465.1875439538,4691.308695705375,"[  0 -68 -56 -41   0  78 -39  -2   0   0   0  98   0   0   0 -11  -7 -21
 -48   0  79 -52 -70 -80   0 -95   0  44  98 -56]","[170  68 158 396 224 213  39  83 129  93 320  63 236 168 232  87 906  21
  48 923 322 509  83 353 138 105 133 205 132 569]"
1,1177156.4962396591,-3700.6914583321195,"[-75   0   0   0  24  55   0  78 -67   0  75 -80 -35  85  98 -23   0   0
  53  82 -62  -7   1 -37  94 -10 -23 -54 -77 -55]","[170   0 102 355 224 291   0  81 129  93 320 161 236 168 232  76 899   0
   0 923 401 457  13 273 138  10 133 249 230 513]"
2,1173455.804781327,4643.442104179412,"[-13  83   2 -35   0 -13   0   0   0 -86  59  -8  91   0 -40   0   0   0
  -9 -20 -57  96 -14   0 -74  84 -27   0   1   0]","[  95    0  102  355  248  346    0  159   62   93  395   81  201  253
  330   53  899    0   53 1005  339  450   14  236  232    0  110  195
  153  458]"
3,1178099.2468855064,-1589.429879176896,"[  0 -37 -53 -78   0  -8  70  69 -53  72   0  90  73 -54   0   0 -27   0
  76   0  24  -1  73 -88 -84   1   0 -14   3   0]","[ 82  83 104 320 248 333   0 159  62   7 454  73 292 253 290  53 899   0
  44 985 282 546   0 236 158  84  83 195 154 458]"
4,1176509.8170063295,-1158.1764847184531,"[ 59   0   0 -38 -91 -64 -26 -28  -9 -78  49  97   0   0   0  39  71   0
   0   0  -6  79  97   0  79 -85 -24 -91  67  87]","[ 82  46  51 242 248 325  70 228   9  79 454 163 365 199 290  53 872   0
 120 985 306 545  73 148  74  85  83 181 157 458]"
5,1175351.640521611,-5563.15881830221,"[  8 -46  76  64 -54 -33  16 -83  90  -1 -13 -15 -61 -52 -54  92  78   0
  81  57   0   9 -41 -95  15   0  -2  65 -66 -15]","[141  46  51 204 157 261  44 200   0   1 503 260 365 199 290  92 943   0
 120 985 300 624 170 148 153   0  59  90 224 545]"
6,1169788.4817033089,-6742.903111728607,"[-93   0   0 -55   0  62 -37  82 -42   1 -13  84   0  83   0   0 -27   0
  58   2   0 -15 -60  92  62   0 -57 -77  54   0]","[ 149    0  127  268  103  228   60  117   90    0  490  245  304  147
  236  184 1021    0  201 1042  300  633  129   53  168    0   57  155
  158  530]"
7,1163045.5785915803,7699.085115222959,"[ 93   0   0   0 -68  91 -23   0  75   0 -60 -72 -11 -21 -59   0   0   0
 -53 -72   0 -71   1  58  86   0   0  71 -99   0]","[  56    0  127  213  103  290   23  199   48    1  477  329  304  230
  236  184  994    0  259 1044  300  618   69  145  230    0    0   78
  212  530]"
8,1170744.6637068032,7551.045890964568,"[-47   0  33 -80 -35   0   0   0   0   0 -62   0   0   0  -7   0 -26   0
 -98 -83 -14 -82 -70 -99  99   0  96  93 -10 -53]","[149   0 127 213  35 381   0 199 123   1 417 257 293 209 177 184 994   0
 206 972 300 547  70 203 316   0   0 149 113 530]"
9,1178295.7095977678,3594.6011080741882,"[-74  86  -2  86  97  55  60 -47 -35  98   0 -66 -69 -67 -96 -41   0   0
   0 -65  63 -95   3 -19  24   0 -43   0 -36 -46]","[102   0 160 133   0 381   0 199 123   1 355 257 293 209 170 184 968   0
 108 889 286 465   0 104 415   0  96 242 103 477]"
10,1181890.310705842,-2205.6424906309694,"[-28 -83 -16 -20 -44   0  23   2 -47  -9   0 -20  98   0 -59  59 -18   0
  64 -18  42 -12  93  45   0   0 -27  52 -25  77]","[ 28  86 158 219  97 436  60 152  88  99 355 191 224 142  74 143 968   0
 108 824 349 370   3  85 439   0  53 242  67 431]"
11,1179684.668215211,-3616.9191985207144,"[  0  -3  70 -36 -45 -99   0 -28  97  33 -20 -55   0  56 -15  -6  37  39
 -33  79  39 -35  93 -60  34   0 -26  -6 -42  87]","[  0   3 142 199  53 436  83 154  41  90 355 171 322 142  15 202 950   0
 172 806 391 358  96 130 439   0  26 294  42 508]"
12,1176067.7490166903,15262.352568656905,"[ 93  70  67  73  -8  76 -83 -94  97  91  77 -65  55 -80   0  17 -41 -39
 -10  39 -39  41   0 -27 -70   0   0 -78   0 -72]","[  0   0 212 163   8 337  83 126 138 123 335 116 322 198   0 196 987  39
 139 885 430 323 189  70 473   0   0 288   0 595]"
13,1191330.1015853472,2281.8386078795884,"[-55   9  52  21  87 -52   2  96 -88 -58 -93 -31  -8 -84   0 -35 -12   0
 -65  -4  70 -46  15  52   3   0  90 -84   0 -22]","[ 93  70 279 236   0 413   0  32 235 214 412  51 377 118   0 213 946   0
 129 924 391 364 189  43 403   0   0 210   0 523]"
14,1193611.9401932268,11012.220524650533,"[-38 -73 -19 -47 -78  45  91 -44  34 -18  48  44 -48 -34   0  17 -58  54
 -24 -97   6 -73 -74  98 -79  84   0  -8  58 -52]","[ 38  79 331 257  87 361   2 128 147 156 319  20 369  34   0 178 934   0
  64 920 461 318 204  95 406   0  90 126   0 501]"
15,1204624.1607178773,4830.054582946934,"[ 30  -6  66  66  -4  97 -85  17  47  -9 -12 -43 -61   0  33  15  76 -54
 -40  80  -3 -62  10  -1 -83 -45  50 -15  72 -39]","[  0   6 312 210   9 406  93  84 181 138 367  64 321   0   0 195 876  54
  40 823 467 245 130 193 327  84  90 118  58 449]"
16,1209454.2153008243,-16092.310999744572,"[-30   0 -33 -98  -5  68  72  -9 -78 -71  38 -21  70  55 -25  -2  -9  29
   0  68  23 -90   0  48  47 -20 -13   6 -72 -80]","[ 30   0 378 276   5 503   8 101 228 129 355  21 260   0  33 210 952   0
   0 903 464 183 140 192 244  39 140 103 130 410]"
17,1193361.9043010797,17693.829777450766,"[  0   0  -1   0   0  60 -32 -40   0 -58 -72   0 -31 -55  53   3   0 -25
  51   0  92 -21 -34  49   0  50 -50  56 -43 -42]","[  0   0 345 178   0 571  80  92 150  58 393   0 330  55   8 208 943  29
   0 971 487  93 140 240 291  19 127 109  58 330]"
18,1211055.7340785305,13129.951607322553,"[  0  84 -67  53  65 -49   0 -22  54  52 -33  70  70   8  54  56  60  -4
  50 -25 -90 -32   1  -1  46 -21 -77 -88  89  75]","[  0   0 344 178   0 631  48  52 150   0 321   0 299   0  61 211 943   4
  51 971 579  72 106 289 291  69  77 165  15 288]"
19,1224185.685685853,-6282.851695792982,"[  0  31 -18 -52 -29 -42 -48  44 -22  -4 -64   9  45  18 -93  60  16   0
 -43 -33  42  79 -76  98  11 -38  18  15  24 -68]","[   0   84  277  231   65  582   48   30  204   52  288   70  369    8
  115  267 1003    0  101  946  489   40  107  288  337   48    0   77
  104  363]"
20,1217902.83399006,4447.019714366877,"[  0 -87   1 -85 -36  98   0 -74  56  81  68   0   0 -22 -21 -78   1   0
  74   0   0 -35   0 -48  98 -10  33 -92  60  74]","[   0  115  259  179   36  540    0   74  182   48  224   79  414   26
   22  327 1019    0   58  913  531  119   31  386  348   10   18   92
  128  295]"
21,1222349.853704427,8572.834667591145,"[  0 -28   0 -64  84  85   0   4  72 -23  32   0 -86  -4  -1  76 -76   0
   0  71 -17   0   0 -68 -56   0  -5   0 -73 -72]","[   0   28  260   94    0  638    0    0  238  129  292   79  414    4
    1  249 1020    0  132  913  531   84   31  338  446    0   51    0
  188  369]"
22,1230922.688372018,-1241.71298947162,"[  0   0 -44  44  32  65   7  -4  11 -13  15  27  -1   0  17  26 -60   0
  -1  10 -71  47   9 -51 -12   0 -46   0  26  68]","[  0   0 260  30  84 723   0   4 310 106 324  79 328   0   0 325 944   0
 132 984 514  84  31 270 390   0  46   0 115 297]"
23,1229680.9753825464,-2826.661519203102,"[ 81   0 -72 -50  12 -38  75  14 -82 -84 -30 -86  92  52 -17  31 -23   0
  24 -79 -97 -93  -5  94   4   0   0   0 -96 -83]","[  0   0 216  74 116 788   7   0 321  93 339 106 327   0  17 351 884   0
 131 994 443 131  40 219 378   0   0   0 141 365]"
24,1226854.3138633433,5760.425067886477,"[ 56   0 -50   0   0  70  61  76  41  62  85  -1   0 -52  53   0 -27   0
  -9 -79 -16  76   0  19 -12   0   0   0  69  59]","[ 81   0 144  24 128 750  82  14 239   9 309  20 419  52   0 382 861   0
 155 915 346  38  35 313 382   0   0   0  45 282]"
