,account_value,reward,actions,n_shares
0,1254322.1943200014,-16648.454290000023,"[ 100  -35   12    0  -37 -100    0    0 -100   57   -8  100  100  -48
  -17    0    0    0  -53  100  100  100 -100    3   11   -2    0  -79
   34    0]","[4297   67  782    0 2531 2118    0    0 2688 2451  113    6 4116 2904
  660    0    0    0 3570 4725    0  821 2596    0  412   21    0   79
  275    0]"
1,1237673.7400300014,1660.9921600003727,"[ 100    0  -31    0  100    0    0    0 -100    0 -100   46  100 -100
    0    0    0   85  -89  100  -15  100 -100   -3 -100  100  100    0
  100    0]","[4397   32  794    0 2494 2018    0    0 2588 2508  105  106 4216 2856
  643    0    0    0 3517 4825  100  921 2496    3  423   19    0    0
  309    0]"
2,1239334.7321900018,-5429.44374000025,"[ 100  -32   -1    0  -55 -100   40    0  -20   14   -5  100  100   37
  -19    0    0  -71   73  100  -85  100 -100   57  -55   25  -95    0
  100    0]","[4497   32  763    0 2594 2018    0    0 2488 2508    5  152 4316 2756
  643    0    0   85 3428 4925   85 1021 2396    0  323  119  100    0
  409    0]"
3,1233905.2884500015,8785.630060000345,"[ 100    0   37   51 -100 -100  -32    0 -100   71    0  -87  100  -36
  -75    0    0  -14   13  100   59  100   24  100   76 -100   11    0
  100    0]","[4597    0  762    0 2539 1918   40    0 2468 2522    0  252 4416 2793
  624    0    0   14 3501 5025    0 1121 2296   57  268  144    5    0
  509    0]"
4,1242690.9185100019,9925.64199999976,"[  56    0 -100  -51    0 -100   80    0 -100 -100    0  100 -100    0
   98    0    0    0  -80  100    0  100  -97  100  -41  -28    0    0
  100    0]","[4697    0  799   51 2439 1818    8    0 2368 2593    0  165 4516 2757
  549    0    0    0 3514 5125   59 1221 2320  157  344   44   16    0
  609    0]"
5,1252616.5605100016,8069.7300100000575,"[ 100    0    0    0   73 -100  -31    0  -97   69    0  100   86    9
  -77    0    0    0  -58  100    0  100  -49  100 -100  -16  -16    0
  100    0]","[4753    0  699    0 2439 1718   88    0 2268 2493    0  265 4416 2757
  647    0    0    0 3434 5225   59 1321 2223  257  303   16   16    0
  709    0]"
6,1260686.2905200017,2440.47239000001,"[ 100    0  -36    0  -14 -100  -57    0  -41  100    0   -1  100 -100
 -100    0    0    0   52   78   49   26 -100   95 -100    0    0    0
  100    0]","[4853    0  699    0 2512 1618   57    0 2171 2562    0  365 4502 2766
  570    0    0    0 3376 5325   59 1421 2174  357  203    0    0    0
  809    0]"
7,1263126.7629100017,-1097.9571800001431,"[ 100    0 -100   31   60 -100   59    0 -100   29    0  -65  100  -60
  100    0    0  100  100  100   40 -100   65  -60   17    3    0    0
    9    0]","[4953    0  663    0 2498 1518    0    0 2130 2662    0  364 4602 2666
  470    0    0    0 3428 5403  108 1447 2074  452  103    0    0    0
  909    0]"
8,1262028.8057300015,-6052.533340000082,"[ 100  100 -100  -31  -40  -96    1    0 -100  100    0   99   65 -100
  -25    0    0   90    1  100  -34   -9   95  -28    0   31    0    0
   56    0]","[5053    0  563   31 2558 1418   59    0 2030 2691    0  299 4702 2606
  570    0    0  100 3528 5503  148 1347 2139  392  120    3    0    0
  918    0]"
9,1255976.2723900015,16325.5584900002,"[ 100    1 -100    0  100 -100  -56    0 -100  -50    0  100  100  -62
  100  100    0 -100  100  100   17   48  -32   70   74  -34    0    0
  100    0]","[5153  100  463    0 2518 1322   60    0 1930 2791    0  398 4767 2506
  545    0    0  190 3529 5603  114 1338 2234  364  120   34    0    0
  974    0]"
10,1272301.8308800017,8446.306759999832,"[ 100   34   61    0 -100 -100   -4    0   10   11    0  100   65  -94
  -10 -100    0  -55  100  100  100   46    2  -53  -68    0    0    0
   62    0]","[5253  101  363    0 2618 1222    4    0 1830 2741    0  498 4867 2444
  645  100    0   90 3629 5703  131 1386 2202  434  194    0    0    0
 1074    0]"
11,1280748.1376400015,-9408.302339999937,"[ 100  -86  -94    0   47 -100    0    0 -100   30    0  100  100 -100
  -95    0    0  -35  100   86 -100   69  -35   79   32   92    0    0
   81    0]","[5353  135  424    0 2518 1122    0    0 1840 2752    0  598 4932 2350
  635    0    0   35 3729 5803  231 1432 2204  381  126    0    0    0
 1136    0]"
12,1271339.8353000015,14239.510190000059,"[ 100  -49 -100    0  100 -100   91   18  -95  -45    0   51  100 -100
  100    0    0    0  -12  100  100  -31 -100  -99 -100   65    0    0
  100    0]","[5453   49  330    0 2565 1022    0    0 1740 2782    0  698 5032 2250
  540    0    0    0 3829 5889  131 1501 2169  460  158   92    0    0
 1217    0]"
13,1285579.3454900016,-2425.6647200000007,"[ 100   76 -100    0  -13 -100  -91  -18 -100    1    0  100  100   88
  -95   54    0    0  -84  100  -24   82 -100 -100  -58  -66    0    0
  100    0]","[5553    0  230    0 2665  922   91   18 1645 2737    0  749 5132 2150
  640    0    0    0 3817 5989  231 1470 2069  361   58  157    0    0
 1317    0]"
