,account_value,reward,actions,n_shares
0,995715.6070099988,-2146.019320000196,"[-98  90   8 -10  60  76  98 -66   6  40 -20   0  96  55   0 -71  65  21
 -52 -35 -85  35  55  66  36 -67  89  30 -56 -27]","[826 429  97 690 259 779 262 748 757 300 855   0 292 100   0 220   0 757
  52  35 380  11 114  47   0  70 104  75 390 112]"
1,993569.5876899986,-40.26344999996945,"[-70 -46  92 -58  -4  -9 -37  35  -8  51  57  18 -36  89   0  16 -42 -53
  67   0 -81 -46  73 -73  96  -3 -75 -96  52  69]","[728 519 105 680 319 855 360 682 763 340 835   0 388 155   0 149  65 778
   0   0 295  46 169 113  36   3 193 105 334  85]"
2,993529.3242399986,-1050.6536899998318,"[ 90 -48  26 -45  19  56 -40  71  74 -78  34 -18  47 -55   0  69  29  85
  48  50  57  56  47 -20  99   0  13  14   0  76]","[658 473 197 622 315 846 323 717 755 391 892  18 352 244   0 165  23 725
  67   0 214   0 242  40 132   0 118   9 386 154]"
3,992478.6705499988,-1091.5522100001108,"[-82  44  33   6 -54 -95 -10  57  26 -10  86   0   5  79   0   4  19 -62
 -60 -50 -25  59  32  97 -86  74  -4  96  92 -87]","[748 425 223 577 334 902 283 788 829 313 926   0 399 189   0 234  52 810
 115  50 271  56 289  20 231   0 131  23 386 230]"
4,991387.1183399986,-2849.210969999898,"[ 75  77  41 -97 -54  72 -42  33 -18 -97 -80  13  70  55   0  39  68 -78
 -55   0  66 -96  56 -70  76  80 -70  24  10  98]","[ 666  469  256  583  280  807  273  845  855  303 1012    0  404  268
    0  238   71  748   55    0  246  115  321  117  145   74  127  119
  478  143]"
5,988537.9073699987,-849.2704099998809,"[-15  98 -82 -73   4  65 -74  71  97  94  22  85 -88  96   0  48  87   2
  49   0 -85  40 -53 -45  84   4  72 -61  65 -46]","[741 546 297 486 226 879 231 878 837 206 932  13 474 323   0 277 139 670
   0   0 312  19 377  47 221 154  57 143 488 241]"
6,987688.6369599989,-134.98180000006687,"[ 27  53 -43 -31 -67   9 -23  82  83  95  97 -48  82 -43  17 -72 -70 -59
  48  97  36  67  75   9  18 -48  -2 -26  52 -26]","[726 644 215 413 230 944 157 949 934 300 954  98 386 419   0 325 226 672
  49   0 227  59 324   2 305 158 129  82 553 195]"
7,987553.6551599988,-950.5619299999671,"[-64 -16 -77  32  61  51 -59  66 -29 -62  20 -50 -60  48  27  26   8  63
  -9  -2 -55 -47   9  64 -65  27  95 -50 -87  87]","[ 753  697  172  382  163  953  134 1031 1017  395 1051   50  468  376
   17  253  156  613   97   97  263  126  399   11  323  110  127   56
  605  169]"
8,986603.0932299988,113.70205000007991,"[ 11 -19 -83 -46  35   1  81 -63 -40  92  99   0  50 -29  11 -50  39  58
   7  14  77  70  37  60  17  50  67  38 -26  21]","[ 689  681   95  414  224 1004   75 1097  988  333 1071    0  408  424
   44  279  164  676   88   95  208   79  408   75  258  137  222    6
  518  256]"
9,986716.7952799989,-1628.6289100000868,"[-49  79  53 -18  73  27 -12  43  46  35 -38   0  51 -38 -55 -87 -38  24
 -47 -61  63  98 -14 -44 -89  14 -54 -44 -14  11]","[ 700  662   12  368  259 1005  156 1034  948  425 1170    0  458  395
   55  229  203  734   95  109  285  149  445  135  275  187  289   44
  492  277]"
10,985088.1663699988,-2615.164419999928,"[-71  16  -9  70 -43 -96 -17  76 -67  54  19  49 -11  35  85  -4  90 -46
  -1 -48 -39 -29  42  77 -77  94 -26   0  79  83]","[ 651  741   65  350  332 1032  144 1077  994  460 1132    0  509  357
    0  142  165  758   48   48  348  247  431   91  186  201  235    0
  478  288]"
11,982473.0019499989,-2802.0912500001723,"[-93 -51 -56 -86 -65  27 -51  -1 -28  54 -55  53  59  54 -51  97 -98  46
 -28   0  97  86  28  72  67  76 -52  86 -45 -64]","[ 580  757   56  420  289  936  127 1153  927  514 1151   49  498  392
   85  138  255  712   47    0  309  218  473  168  109  295  209    0
  557  371]"
12,979670.9106999987,2802.3743700000923,"[ 80  53   0 -95 -16 -76 -17  79 -71 -56  31 -10  -6  -7 -34  10 -80   2
  85  98 -72 -43  71  25  62   2  42  91 -68  55]","[ 487  706    0  334  224  963   76 1152  899  568 1096  102  557  446
   34  235  157  758   19    0  406  304  501  240  176  371  157   86
  512  307]"
13,982473.2850699988,-1835.1097300000256,"[ 28 -26   0 -66  68 -92 -59  60  49  46 -57  76 -83  55   0  42 -77  31
  91  60 -56 -27  99  31  19 -44 -72  96 -92  54]","[ 567  759    0  239  208  887   59 1231  828  512 1127   92  551  439
    0  245   77  760  104   98  334  261  572  265  238  373  199  177
  444  362]"
14,980638.1753399988,3611.2665399999823,"[-41  44   0   1  46 -66   0 -86 -89  33  40  76  -8  86   0  60  35  13
 -24  25  62  87 -34  89  65  91 -36 -75  99  69]","[ 595  733    0  173  276  795    0 1291  877  558 1070  168  468  494
    0  287    0  791  195  158  278  234  671  296  257  329  127  273
  352  416]"
15,984249.4418799988,-4171.1014500003075,"[ 43 -73   8 -19   5  19   0 -62  82 -86 -71 -45 -94  74   8  98 -35 -25
 -24 -89 -51  84  15 -58 -42  65 -35 -86  98   6]","[ 554  777    0  174  322  729    0 1205  788  591 1110  244  460  580
    0  347   35  804  171  183  340  321  637  385  322  420   91  198
  451  485]"
16,980078.3404299985,1427.0532800001092,"[ 40  52  -8 -22  -1  28  13  85  90  60  18 -26  86  90  -8 -73   0  58
 -74  81 -60 -57  38 -20 -15 -53  88  -2 -53 -45]","[ 597  704    8  155  327  748    0 1143  870  505 1039  199  366  654
    8  445    0  779  147   94  289  405  652  327  280  485   56  112
  549  491]"
17,981505.3937099986,4137.96641000011,"[ 68  22  34 -70  57 -49 -13  87  38 -45 -88  78  99  20  41 -78   0 -85
 -53 -47   2 -11 -36 -59  60  22 -19  77  84   0]","[ 637  756    0  133  326  776   13 1228  960  565 1057  173  452  744
    0  372    0  837   73  175  229  348  690  307  265  432  144  110
  496  446]"
18,985643.3601199987,418.01224999991246,"[ 45  82  11 -59  62 -63  51  25  44  98  13  54  52  14  53 -80   2  29
  -4  40  12  17 -72 -14  12  -7  57 -42 -62 -60]","[ 705  778   34   63  383  727    0 1315  998  520  969  251  551  764
   41  294    0  752   20  128  231  337  654  248  325  454  125  187
  580  446]"
19,986061.3723699986,-684.9192899998743,"[-80 -25  42  19  -1  -5 -51  51 -79 -63 -22  42   6  17 -20 -70  79 -45
  24 -87  77 -29  28 -88  34 -92 -81 -78 -54 -15]","[ 750  860   45    4  445  664   51 1340 1042  618  982  305  603  778
   94  214    2  781   16  168  243  354  582  234  337  447  182  145
  518  386]"
20,985376.4530799987,-722.8210299999919,"[-43 -80  41 -19 -85  30   9 -43  17  46 -92 -79  69 -70 -19 -61  64  85
  82  73  89  45  17   8  71 -67  78 -67 -70  84]","[ 670  835   87   23  444  659    0 1391  963  555  960  347  609  795
   74  144   81  736   40   81  320  325  610  146  371  355  101   67
  464  371]"
21,984653.6320499987,3174.5394899999956,"[ 53  27  87  -4 -57 -54  -9  87 -18  83 -23  14 -55  75 -11 -71  65  56
   0 -43  88 -67 -73 -38  89  24  93   0 -29 -11]","[ 627  755  128    4  359  689    9 1348  980  601  868  268  678  725
   55   83  145  821  122  154  409  370  627  154  442  288  179    0
  394  455]"
22,987828.1715399987,-223.68746000004467,"[ 58 -73  91   0  55  -7   0 -60 -74 -55 -46  92 -87 -52 -44 -12 -36  45
  54  87  64 -83 -72 -32 -65  -5  14   0  98  84]","[ 680  782  215    0  302  635    0 1435  962  684  845  282  623  800
   44   12  210  877  122  111  497  303  554  116  531  312  272    0
  365  444]"
23,987604.4840799987,-907.4927600004012,"[-30  73 -13  41 -72  29  49  -7   6   4  17 -52  47 -99   5  50  57 -22
  46 -78 -80  47 -61 -33  98  36 -92   0  81  -3]","[ 738  709  306    0  357  628    0 1375  888  629  799  374  536  748
    0    0  174  922  176  198  561  220  482   84  466  307  286    0
  463  528]"
24,986696.9913199983,-1099.1629600003362,"[ 19  95  25 -41 -60 -83  46 -74  14  59  59  70 -17 -12  -5   4  26 -36
  -1 -11  90  31 -66  -5  37  99  32  62 -95 -31]","[ 708  782  293   41  285  657   49 1368  894  633  816  322  583  649
    5   50  231  900  222  120  481  267  421   51  564  343  194    0
  544  525]"
25,985597.828359998,3315.8069000000833,"[ 95 -66  -7  66 -19 -41 -72  92  41  12 -18  71  26 -69  56  21  23 -31
 -30 -46  48 -82  66  89 -24 -38 -69  77 -92  65]","[ 727  877  318    0  225  574   95 1294  908  692  875  392  566  637
    0   54  257  864  221  109  571  298  355   46  601  442  226   62
  449  494]"
26,988913.635259998,1282.0437499997206,"[ 14 -40 -53   6 -16 -71  -7 -52 -20 -46  -8 -68  11  70  76 -74 -14  40
 -27 -58 -37  94  65  40  -4 -12 -84 -21  75  75]","[ 822  811  311   66  206  533   23 1386  949  704  857  463  592  568
   56   75  280  833  191   63  619  216  421  135  577  404  157  139
  357  559]"
27,990195.6790099978,-197.61081000010017,"[-92 -72  70  37  25  82  34 -30  40  78 -75 -29 -85 -67  26  -1  99 -42
  -3   7 -83  99 -32  68  89  44 -73 -97 -88 -89]","[ 836  771  258   72  190  462   16 1334  929  658  849  395  603  638
  132    1  266  873  164    5  582  310  486  175  573  392   73  118
  432  634]"
28,989998.0681999977,-3281.592289999826,"[-86 -92  63 -85   2  22  47   9 -29  35 -60  48 -55 -36 -93   0  62  14
  36   7  45  75 -42 -99  14 -16   0  22 -80  66]","[ 744  699  328  109  215  544   50 1304  969  736  774  366  518  571
  158    0  365  831  161   12  499  409  454  243  662  436    0   21
  344  545]"
29,986716.4759099978,1011.9114599998575,"[  5  90  29 -10  73 -92 -20  56  44  51  20 -18 -45  11 -65   0  66  67
   5  32   1  65  64  50 -28 -17   0 -43  94  10]","[ 658  607  391   24  217  566   97 1313  940  771  714  414  463  535
   65    0  427  845  197   19  544  484  412  144  676  420    0   43
  264  611]"
30,987728.3873699977,2114.1846000001533,"[ 40 -83  14  40 -37 -59 -53  89 -66 -74  85 -30   9 -47   0   0  55  34
 -54 -37  66 -77 -90 -88  37 -27   0  74  59  28]","[ 663  697  420   14  290  474   77 1369  984  822  734  396  418  546
    0    0  493  912  202   51  545  549  476  194  648  403    0    0
  358  621]"
31,989842.5719699978,-2293.4585900001694,"[ 23  65  56 -26  51  -1  17 -17 -95 -94 -63 -43 -54  65   2   7  56   2
   1  -5  93 -68  62 -15 -93 -93  79  92 -33  88]","[ 703  614  434   54  253  415   24 1458  918  748  819  366  427  499
    0    0  548  946  148   14  611  472  386  106  685  376    0   74
  417  649]"
32,987549.1133799977,2839.3569200001657,"[-41  92   0 -25 -32 -58  65   6 -62  86  61 -57  78 -35  -2  -2 -79  -3
  99  31  19  69  23 -30 -21 -12 -79 -43  13  30]","[ 726  679  490   28  304  414   41 1441  823  654  756  323  373  564
    2    7  604  948  149    9  704  404  448   91  592  283   79  166
  384  737]"
33,990388.4702999978,-331.2835699999705,"[-47  87 -72  84  -9 -90 -52  28 -89  63 -22 -24  13 -21   0  -5  78  -6
  72 -40   5  42 -43 -61 -53  67  16 -13  63  13]","[ 685  771  490    3  272  356  106 1447  761  740  817  266  451  529
    0    5  525  945  248   40  723  473  471   61  571  271    0  123
  397  767]"
