,account_value,reward,actions,n_shares
0,990668.8161799996,3124.9504500001203,"[   0  -54    0    0    0    0 -100  -33    0    0    0    0    4   55
 -100    0    0  100  100  100  100 -100  -56 -100   -6    0  100  100
  -99  -67]","[   0  218    0 1618   73  100  236 1831   29    0    0    0  511 1422
 1661 3612  100   31 1995  159  122 1717  100 1114  413 2053  431 1367
  842 1532]"
1,993793.7666299997,4686.449269999866,"[   0   60    1  100  -73  100  -18   75  -29  100    0    0  100  100
 -100  -49  100   75  -95  -96  100 -100    0 -100   86  -98 -100  100
  -76 -100]","[   0  164    0 1618   73  100  136 1798   29    0    0    0  515 1477
 1561 3612  100  131 2095  259  222 1617   44 1014  407 2053  531 1467
  743 1465]"
2,998480.2158999996,10409.213600000134,"[ 100  -29    5    0    0 -100  -25  -40    0 -100    0  100 -100  100
 -100  -30  -29 -100 -100    0  -17  100  -44 -100    1  100  100  100
 -100    0]","[   0  224    1 1718    0  200  118 1873    0  100    0    0  615 1577
 1461 3563  200  206 2000  163  322 1517   44  914  493 1955  431 1567
  667 1365]"
3,1008889.4294999997,-283.2015299999621,"[-100    0    0 -100    0  -11  -73    0    0    0    0    1    0    0
    0  -41   48  -65 -100  -38  100    0    0 -100  100  100  100    0
    0    0]","[ 100  195    6 1718    0  100   93 1833    0    0    0  100  515 1677
 1361 3533  171  106 1900  163  305 1617    0  814  494 2055  531 1667
  567 1365]"
4,1008606.2279699998,1463.6235099999467,"[   0  -69   -6 -100    0  -89    0  100    2  100   80  -58  -82    1
 -100    0  100  100   92 -100  -38    1    0  -70  -62  100 -100  100
   84  -60]","[   0  195    6 1618    0   89   20 1833    0    0    0  101  515 1677
 1361 3492  219   41 1800  125  405 1617    0  714  594 2155  631 1667
  567 1365]"
5,1010069.8514799997,-1422.2870499999262,"[   0  100    0 -100  100    0  -20   48   -2 -100  -80  100   79 -100
  -90  100  -84  100  -15   96 -100  -70    0   10  100   59 -100  -31
 -100  -32]","[   0  126    0 1518    0    0   20 1933    2  100   80   43  433 1678
 1261 3492  319  141 1892   25  367 1618    0  644  532 2255  531 1767
  651 1305]"
6,1008647.5644299998,-4122.805900000269,"[   0 -100    0   -2   58    0    0 -100  100   70    0  -21  100   61
  100 -100 -100   22   -4   18    3 -100  100  -98   20   30   17   85
   94  -34]","[   0  226    0 1418  100    0    0 1981    0    0    0  143  512 1578
 1171 3592  235  241 1877  121  267 1548    0  654  632 2314  431 1736
  551 1273]"
7,1004524.7585299995,-3454.9041099997703,"[ 100    1  100 -100  -63    0    0 -100  100   79    0 -100 -100  100
  -56   -4   -2  -56 -100   -5   44  -52   35  -90  100 -100 -100 -100
    0 -100]","[   0  126    0 1416  158    0    0 1881  100   70    0  122  612 1639
 1271 3492  135  263 1873  139  270 1448  100  556  652 2344  448 1821
  645 1239]"
8,1001069.8544199998,19273.880639999872,"[-100  -96  -88   35  -35  100  100 -100  100   33    0   40 -100  100
  100  100 -100   44  100 -100  100   53  100  100  100   53 -100  100
   55  100]","[ 100  127  100 1316   95    0    0 1781  200  149    0   22  512 1739
 1215 3488  133  207 1773  134  314 1396  135  466  752 2244  348 1721
  645 1139]"
9,1020343.7350599996,2384.9053700001677,"[ 100   55  100 -100  -60  -21 -100   -7 -100  -27  100  -62   52   65
  100  100  -33   56   71  -34 -100   42 -100 -100  -77  100  100  100
 -100   90]","[   0   31   12 1351   60  100  100 1681  300  182    0   62  412 1839
 1315 3588   33  251 1873   34  414 1449  235  566  852 2297  248 1821
  700 1239]"
10,1022728.6404299998,191.91763999999966,"[ -50   38  -82 -100  100  -79  100  -75  100  -21   38    0  -31  -88
 -100 -100   41 -100   -7  100  100  100 -100 -100   77  100  -51  100
  -98  100]","[ 100   86  112 1251    0   79    0 1674  200  155  100    0  464 1904
 1415 3688    0  307 1944    0  314 1491  135  466  775 2397  348 1921
  600 1329]"
11,1022920.5580699998,719.511930000037,"[  32  -51  100   48  100   81  -34   30   92 -100  -50    0  100   71
  -98 -100  -37  -70   69  100   88  -62  -28 -100  100  100   18  -45
  100   20]","[  50  124   30 1151  100    0  100 1599  300  134  138    0  433 1816
 1315 3588   41  207 1937  100  414 1591   35  366  852 2497  297 2021
  502 1429]"
12,1023640.0699999998,171.3646399998106,"[  -9  -55  -23  -61  -95  -81  -30 -100   62  -34  -68    0   98  100
  -44 -100  100 -100 -100  100   31 -100   -7 -100  100  100 -100  100
 -100  100]","[  82   73  130 1199  200   81   66 1629  392   34   88    0  533 1887
 1217 3488    4  137 2006  200  502 1529    7  266  952 2597  315 1976
  602 1449]"
13,1023811.4346399996,12579.630160000059,"[ 100    0    0    0  100    0  -36  100  100  100  -20    0 -100    0
    0 -100  100  100  -68  100  100  -19    0 -100  -50    0  -90   73
  100  100]","[  73   18  107 1138  105    0   36 1529  454    0   20    0  631 1987
 1173 3388  104   37 1906  300  533 1429    0  166 1052 2697  215 2076
  502 1549]"
14,1036391.0647999997,21555.166629999992,"[-100  -18  100    0    0    0    0 -100  100 -100    0    0    0    0
  100   90    0    1  -20   -7    0 -100    0  100 -100 -100 -100  100
 -100    0]","[ 173   18  107 1138  205    0    0 1629  554  100    0    0  531 1987
 1173 3288  204  137 1838  400  633 1410    0   66 1002 2697  125 2149
  602 1649]"
15,1057946.2314299997,-3154.4056199998595,"[   6  100   39  -95   60    0  100 -100 -100    0    0  100  100  100
 -100 -100 -100  100    7  100  100   -5   71  100   73 -100  -25  -42
 -100  -95]","[  73    0  207 1138  205    0    0 1529  654    0    0    0  531 1987
 1273 3378  204  138 1818  393  633 1310    0  166  902 2597   25 2249
  502 1649]"
16,1054791.8258099998,-4394.2175300000235,"[ 100   24 -100  100   72    0   57  100  -22    0    0  100  100  -82
 -100 -100 -100  100 -100  100    0  -34  100  -70 -100 -100    0  100
 -100  -16]","[  79  100  246 1043  265    0  100 1429  554    0    0  100  631 2087
 1173 3278  104  238 1825  493  733 1305   71  266  975 2497    0 2207
  402 1554]"
17,1050397.6082799998,-6757.519810000202,"[   0  100  100  100  -82    0 -100  100    0    0    0  100    0    0
  -23 -100  100  100 -100 -100  -79  100 -100  100  100 -100  100  -66
 -100   57]","[ 179  124  146 1143  337    0  157 1529  532    0    0  200  731 2005
 1073 3178    4  338 1725  593  733 1271  171  196  875 2397    0 2307
  302 1538]"
18,1043640.0884699996,14546.467290000292,"[ -15  -68 -100   36 -100    0  -57  100  -51    0    0  100  100  100
 -100  -27  100  100  -73   98  100 -100  100  100  100 -100 -100  -30
  -75 -100]","[ 179  224  246 1243  255    0   57 1629  532    0    0  300  731 2005
 1050 3078  104  438 1625  493  654 1371   71  296  975 2297  100 2241
  202 1595]"
19,1058186.55576,18175.846829999937,"[ -93    1    0   38  100    0    0  100    0    0    0 -100  100 -100
    0    0  -70  100  100  100  100 -100 -100  -70    0  100    0    0
  100    0]","[ 164  156  146 1279  155    0    0 1729  481    0    0  400  831 2105
  950 3051  204  538 1552  591  754 1271  171  396 1075 2197    0 2211
  127 1495]"
20,1076362.4025899998,10343.349859999958,"[   3    0    0  100 -100    0    0   99 -100    0    0  100    0 -100
 -100  100  100 -100    0  -42    0    0    0 -100  -78  100    0    0
 -100  100]","[  71  157  146 1317  255    0    0 1829  481    0    0  300  931 2005
  950 3051  134  638 1652  691  854 1171   71  326 1075 2297    0 2211
  227 1495]"
21,1086705.7524499998,-11587.981840000022,"[ -48  -26 -100  100  -12  100  100   15  -61    0    0   86  100 -100
  -26 -100 -100  -87  -84  100   15 -100  100  -96  100  -78    0  -46
 -100  -74]","[  74  157  146 1417  155    0    0 1928  381    0    0  400  931 1905
  850 3151  234  538 1652  649  854 1171   71  226  997 2397    0 2211
  127 1595]"
22,1075117.7706099998,-9017.919329999946,"[ -15  100  100  100 -100 -100 -100  -96   73    0    0  100 -100  100
 -100  -18  100 -100   76   56  -41   64  100  100   11  -26    0  100
  -27  -98]","[  26  131   46 1517  143  100  100 1943  320    0    0  486 1031 1805
  824 3051  134  451 1568  749  869 1071  171  130 1097 2319    0 2165
   27 1521]"
