,account_value,reward,actions,n_shares
0,1009150.2446500018,672.1909100002376,"[ 69  48  56  45  40  85  -1 -89   2 -86   7  93   0 -38 -36  89  97 -89
  76 -99  58 -31 -14   4  -1  54 -67 -54 -79  -4]","[1054  866  113  597   23  204 1064  308  331  293  971  114    0  272
  170  231 1122  791  984  768   61 1009  569  527  449  221  380 1108
  697  396]"
1,1009822.435560002,2360.5719899996184,"[-54 -29 -48  83 -63 -19 -20 -57 -95 -30 -17   1   0  86 -69   0  33 -96
 -59 -96 -33   1  -5  86  75 -31 -23  81   8  17]","[1123  914  169  642   63  289 1063  219  333  207  978  207    0  234
  134  320 1219  702 1060  669  119  978  555  531  448  275  313 1054
  618  392]"
2,1012183.0075500016,5027.719760000007,"[-79 -43 -72  86   0   0  51 -99 -67  -5 -11 -93   0  93  58  34 -56 -79
 -66  21 -37  50 -85  -7  66 -30 -77 -53   1 -82]","[1069  885  121  725    0  270 1043  162  238  177  961  208    0  320
   65  320 1252  606 1001  573   86  979  550  617  523  244  290 1135
  626  409]"
3,1017210.7273100016,2935.245820000069,"[ -5  88 -26  24  25 -49  39 -30  64  11  -4 -65   6  91  85  13 -89  88
 -57 -89 -49 -28   1 -93 -83 -25 -18  18 -15 -32]","[ 990  842   49  811    0  270 1094   63  171  172  950  115    0  413
  123  354 1196  527  935  594   49 1029  465  610  589  214  213 1082
  627  327]"
4,1020145.9731300017,67.70827000006102,"[ 36 -63  30  53  78  77  90  55 -46 -20   8  -7  -6  75 -50 -52 -83  16
 -14  58   0  87  19  33  33  82  14  75 -85 -39]","[ 985  930   23  835   25  221 1133   33  235  183  946   50    6  504
  208  367 1107  615  878  505    0 1001  466  517  506  189  195 1100
  612  295]"
5,1020213.6814000017,-261.7311799998861,"[ 39  28 -45   4 -64  34  92  74  33  88 -73 -43  47 -59  31  58  55 -50
  91 -81  77  43 -50  -6 -92  91 -15 -26 -25  21]","[1021  867   53  888  103  298 1223   88  189  163  954   43    0  579
  158  315 1024  631  864  563    0 1088  485  550  539  271  209 1175
  527  256]"
6,1019951.9502200019,-499.4797299997881,"[ 62  43  94 -45  75   6  61 -52 -94 -76  56  31  85  70  -1 -24 -95  21
 -54 -75  31 -10   0  90 -91 -71 -39  96 -21   0]","[1060  895    8  892   39  332 1315  162  222  251  881    0   47  520
  189  373 1079  581  955  482   77 1131  435  544  447  362  194 1149
  502  277]"
7,1019452.4704900021,1528.8950800002785,"[ 74  17  23  24 -12  -2  26  62 -98  13  59  -1 -94 -47 -33  -8  18 -36
 -74 -73 -84  62  76  -9  17  -4  18 -42 -22 -45]","[1122  938  102  847  114  338 1376  110  128  175  937   31  132  590
  188  349  984  602  901  407  108 1121  435  634  356  291  155 1245
  481  277]"
8,1020981.3655700024,7335.162030000007,"[ 75  44  90  77  22 -20  21  36  46  70  52  67  36  28  50 -79 -34  56
 -94 -74  61   0  40  45  27 -11 -43 -76  51  79]","[1196  955  125  871  102  336 1402  172   30  188  996   30   38  543
  155  341 1002  566  827  334   24 1183  511  625  373  287  173 1203
  459  232]"
9,1028316.5276000024,2088.8121000000974,"[-39 -24  86  54  33  -8  85  93 -72 -18  27 -26 -29   8  98 -33  98  48
   4 -61  57 -59  -3  82  23  13 -41 -48  -2  38]","[1271  999  215  948  124  316 1423  208   76  258 1048   97   74  571
  205  262  968  622  733  260   85 1183  551  670  400  276  130 1127
  510  311]"
