,account_value,reward,actions,n_shares
0,1324459.0659700038,-4479.281110000098,"[ 100 -100  -19  -16   17  100 -100  -39  100  -60  100    0  -65 -100
  100  100    0 -100  -16    3 -100  -61  -14  100   36  -87 -100  100
    7   32]","[   0  362  103 2123 1704 2308 3746 1348    0   68  289    0  239 1532
 3949  365    0 2508  673 2031 1242  677  157  207 2038 3859  234 4123
 3056 1060]"
1,1319979.7848600037,1167.8044999998529,"[ 100    6  -84   11   96  100   40  100 -100   -8  -20   11 -100  -61
  100  100   45  -25  -39  -82  100   50   78  100 -100  100 -100  100
  100  -56]","[ 100  262   84 2107 1721 2408 3646 1309  100    8  389    0  174 1432
 4049  465    0 2408  657 2034 1142  616  143  307 2074 3772  134 4223
 3063 1092]"
2,1321147.5893600036,-1192.5659199997317,"[ 100   31  100   99   57 -100 -100   52    0    0  -88   64  -74  100
   33  100   44  100  -11  -73 -100   49  100  -26   15   70  -27 -100
  100  100]","[ 200  268    0 2118 1817 2508 3686 1409    0    0  369   11   74 1371
 4149  565   45 2383  618 1952 1242  666  221  407 1974 3872   34 4323
 3163 1036]"
3,1319955.0234400039,19696.474149999674,"[ -14   81  -45  100    0  -28  -86  -18    2    0  100  100   70  -30
  100  100  -75  -58   59  100 -100    3   86    0 -100  100   -7 -100
 -100  -71]","[ 300  299  100 2217 1874 2408 3586 1461    0    0  281   75    0 1471
 4182  665   89 2483  607 1879 1142  715  321  381 1989 3942    7 4223
 3263 1136]"
4,1339651.4975900035,17533.41931000026,"[  71 -100    0 -100    0    0 -100    1   -2    0    0  100  -29  -11
    1  100    0 -100   75   15 -100   86  100  100    0  100    0 -100
  100 -100]","[ 286  380   55 2317 1874 2380 3500 1443    2    0  381  175   70 1441
 4282  765   14 2425  666 1979 1042  718  407  381 1889 4042    0 4123
 3163 1065]"
5,1357184.9169000038,-1192.991420000093,"[  60 -100  -55  100  100  -84  100   41   52    0 -100 -100  -41  100
 -100   46   53  -45 -100 -100  100 -100  -63  100 -100   77   73 -100
  100   71]","[ 357  280   55 2217 1874 2380 3400 1444    0    0  381  275   41 1430
 4283  865   14 2325  741 1994  942  804  507  481 1889 4142    0 4023
 3263  965]"
6,1355991.9254800037,4981.8213100000285,"[ -29  -66    0  100 -100  -23   86  -54  100    0 -100  -69    0  -19
   15    3  -67   58   93 -100 -100  -94  100  100  100   -8  -73   -3
  -21 -100]","[ 417  180    0 2317 1974 2296 3500 1485   52    0  281  175    0 1530
 4183  911   67 2280  641 1894 1042  704  444  581 1789 4219   73 3923
 3363 1036]"
7,1360973.7467900037,7900.152650000062,"[ -15    0   54    0 -100    0  100    0  -95    0    0  100    0 -100
    0  100    0  100  100  100  100  -99  100    0    0    0    0    0
 -100 -100]","[ 388  114    0 2417 1874 2273 3586 1431  152    0  181  106    0 1511
 4198  914    0 2338  734 1794  942  610  544  681 1889 4211    0 3920
 3342  936]"
8,1368873.8994400038,11994.811149999732,"[ -96    5  -54 -100  100   52  -62 -100    0    0  -82 -100    0 -100
    0    0  100  100  100    0  100  -47 -100  100  -43  -87    0  100
  -64  -73]","[ 373  114   54 2417 1774 2273 3686 1431   57    0  181  206    0 1411
 4198 1014    0 2438  834 1894 1042  511  644  681 1889 4211    0 3920
 3242  836]"
9,1380868.7105900035,8740.007410000311,"[ -11  100  100  -35 -100  -42    0    2  100   89   69  100    0  -29
 -100   64 -100 -100    0  -54   94 -100  100 -100 -100   63   15  -16
   56  100]","[ 277  119    0 2317 1874 2325 3624 1331   57    0   99  106    0 1311
 4198 1014  100 2538  934 1894 1142  464  544  781 1846 4124    0 4020
 3178  763]"
10,1389608.7180000038,-24543.09564000019,"[  87 -100   86 -100  -41   70    8  -33 -100  100   72  -69    0 -100
  100  -97    0   39   84  -92  -20   14  -69  -96   34 -100  -15  100
 -100    3]","[ 266  219  100 2282 1774 2283 3624 1333  157   89  168  206    0 1282
 4098 1078    0 2438  934 1840 1236  364  644  681 1746 4187   15 4004
 3234  863]"
11,1365065.6223600036,5615.401300000027,"[ 100  100  100 -100  -41 -100 -100   74  -57  100  100  -62    0  -41
  -80  -21   25 -100 -100  100 -100   28 -100   -7    8   23   42   22
  -80 -100]","[ 353  119  186 2182 1733 2353 3632 1300   57  189  240  137    0 1182
 4198  981    0 2477 1018 1748 1216  378  575  585 1780 4087    0 4104
 3134  866]"
