,account_value,reward,actions,n_shares
0,1124711.4047600015,7867.447820000118,"[-34 -93   8 -34 -93 -84  66 -18   0  91  65   7   2 -23 -59  89  27  23
 -16 -43   4 -22 -12 -75  57 -30  -9 -25  51 -23]","[ 263  545  575  309  325   92  702 1453    0  513  128   71   64  613
  797  759  880 1014  760  364  331  174 1203  156  152  740  516  447
  497  489]"
1,1132578.8525800016,-842.6491700001061,"[-40   1  45   6  38  60 -89 -23  63  68 -48 -78 -31  91 -36 -66  92 -91
 -29 -24  97  90 -15  82 -33 -66  -7  51 -92  54]","[ 229  452  583  275  232    8  768 1435    0  604  193   78   66  590
  738  848  907 1037  744  321  335  152 1191   81  209  710  507  422
  548  466]"
2,1131736.2034100015,-1989.5733600002714,"[ 15   8 -21  80 -59 -68 -27 -98 -20  79 -62  39  18  -9 -58  44  53 -57
 -82 -53  63  33  40  -2 -53  32  -7 -60 -80  81]","[ 189  453  628  281  270   68  679 1412   63  672  145    0   35  681
  702  782  999  946  715  297  432  242 1176  163  176  644  500  473
  456  520]"
3,1129746.6300500012,-875.5457099999767,"[ 78  47  39 -53 -54   0  62 -79 -43 -20  32 -17 -53  92 -93 -15   5  59
  38  -5 -29   8  11 -98 -23   0  21  48  10 -82]","[ 204  461  607  361  211    0  652 1314   43  751   83   39   53  672
  644  826 1052  889  633  244  495  275 1216  161  123  676  493  413
  376  601]"
4,1128871.0843400012,-2120.454259999795,"[-25   7 -58  65 -48   0  85  67   0  61 -20  70   0 -55  81  29  33 -19
  13 -19 -76  89 -13  76  87  95  16 -53 -62 -46]","[ 282  508  646  308  157    0  714 1235    0  731  115   22    0  764
  551  811 1057  948  671  239  466  283 1227   63  100  676  514  461
  386  519]"
5,1126750.6300800014,1173.0645800000057,"[-33  18  24  95  76  90 -95 -23  99 -43 -90   5   0  67 -55 -45 -60  39
  62  90   7  66  23  54  67  81 -15  20  -1  30]","[ 257  515  588  373  109    0  799 1302    0  792   95   92    0  709
  632  840 1090  929  684  220  390  372 1214  139  187  771  530  408
  324  473]"
6,1127923.6946600014,-2701.8848100001924,"[ 78  66 -73  90  75  -9 -33  22 -26  21  89  54   7   2   6 -14 -72 -16
   7   0 -25  61  62  47 -22 -17 -65 -50  93  71]","[ 224  533  612  468  185   90  704 1279   99  749    5   97    0  776
  577  795 1030  968  746  310  397  438 1237  193  254  852  515  428
  323  503]"
7,1125221.8098500012,-1164.4810499995947,"[-34 -59  84 -22  59 -64  -3 -93 -39 -45  15 -59  57 -86 -98  18 -46  -6
 -14  52 -52 -88  20  54 -33  54 -99 -10  92 -11]","[ 302  599  539  558  260   81  671 1301   73  770   94  151    7  778
  583  781  958  952  753  310  372  499 1299  240  232  835  450  378
  416  574]"
8,1124057.3288000016,-6213.027059999993,"[ -7  26   3  -3 -31 -17  91  14 -29  11   3  43  80  19  88  -7  65 -15
 -39  93 -94  64  84  -5  55 -60  51  36 -89  31]","[ 268  540  623  536  319   17  668 1208   34  725  109   92   64  692
  485  799  912  946  739  362  320  411 1319  294  199  889  351  368
  508  563]"
9,1117844.3017400017,3334.5999199999496,"[  5  92  45  38 -17  18  11 -61  46 -31 -61  50   9  28  12 -89  -6 -99
 -81  25  68 -79  51  73  54   2  83  59  -6 -36]","[ 261  566  626  533  288    0  759 1222    5  736  112  135  144  711
  573  792  977  931  700  455  226  475 1403  289  254  829  402  404
  419  594]"
10,1121178.9016600016,2561.118909999961,"[ 92  17 -35  73  60  27  93  64  96  58  56 -25 -76  35 -96  21  62 -60
 -86 -51   6 -20 -14  44  48  36   0 -13 -68   6]","[ 266  658  671  571  271   18  770 1161   51  705   51  185  153  739
  585  703  971  832  619  480  294  396 1454  362  308  831  485  463
  413  558]"
11,1123740.0205700016,1272.416129999794,"[ 94 -95  55  75 -88 -43  63 -21 -27  11 -27  57  46  -1  24 -78  -7  -2
  88 -83  16 -63  34 -94 -40 -60  98  27  96   9]","[ 358  675  636  644  331   45  863 1225  147  763  107  160   77  774
  489  724 1033  772  533  429  300  376 1440  406  356  867  485  450
  345  564]"
12,1125012.4367000014,22167.995710000163,"[ 48  87  65   0 -72  39  45  18 -84 -92 -80  34 -66   1 -40 -12 -52 -29
  32  31 -56 -57  76 -67  87 -39  82 -66 -57 -30]","[ 452  580  691  719  243    2  926 1204  120  774   80  217  123  773
  513  646 1026  770  621  346  316  313 1474  312  316  807  583  477
  441  573]"
13,1147180.4324100015,8662.901820000028,"[ 45  36 -40  22  34 -41  34  10  96  85  68   0  12  48  30 -21 -87  49
   2  77  69  73  35  38  44 -41 -35 -35  49 -37]","[ 500  667  756  719  171   41  971 1222   36  682    0  251   57  774
  473  634  974  741  653  377  260  256 1550  245  403  768  665  411
  384  543]"
14,1155843.3342300016,1020.4169399999082,"[ 84  27   2 -43  -3  66 -20 -30 -23 -18  38 -12  61   2  35 -48 -96 -94
 -55  63   7 -23  -1  42 -36  59  -7 -53  81 -38]","[ 545  703  716  741  205    0 1005 1232  132  767   68  251   69  822
  503  613  887  790  655  454  329  329 1585  283  447  727  630  376
  433  506]"
15,1156863.7511700015,-6621.919900000095,"[-51 -99  32 -43 -51  -9  19 -20  81  -4  26 -85  -5  23  49  53 -29  -8
 -23  10 -86  97 -70  24 -81  50  97  33  83 -70]","[ 629  730  718  698  202   66  985 1202  109  749  106  239  130  824
  538  565  791  696  600  517  336  306 1584  325  411  786  623  323
  514  468]"
16,1150241.8312700014,7915.267349999864,"[ 67  55  84  72  76  95 -50  -3  54 -83 -86  65 -56  97  58 -63  96 -32
  18  71 -58  67  62  32  84  46  99  24  99  81]","[ 578  631  750  655  151   57 1004 1182  190  745  132  154  125  847
  587  618  762  688  577  527  250  403 1514  349  330  836  720  356
  597  398]"
17,1158157.0986200012,-7607.589000000153,"[ 85  68  52  -4  50 -81 -36 -91 -65  54  98 -29 -69  -8  57  20  31  15
  -4  13 -79 -78 -30  38  46 -64   3 -49 -74 -23]","[ 645  686  834  727  227  152  954 1179  244  662   46  219   69  944
  645  555  858  656  595  598  192  470 1576  381  414  882  819  380
  696  479]"
18,1150549.509620001,2943.9704199999105,"[-18 -96  57 -66  77 -71 -10  64 -12 -54 -98  49   0  38  50 -73 -39  55
  75  45  26  23  93  20 -70  61  -2   9   2  18]","[ 730  754  886  723  277   71  918 1088  179  716  144  190    0  936
  702  575  889  671  591  611  113  392 1546  419  460  818  822  331
  622  456]"
19,1153493.480040001,6719.409960000077,"[-86  35  45  28 -40   0  14  84  61  61  40  60   0 -14  16   1 -68  97
  26 -46 -42  50 -35  77 -55  15  21  -5 -68 -59]","[ 712  658  943  657  354    0  908 1152  167  662   46  239    0  974
  752  502  850  726  666  656  139  415 1639  439  390  879  820  340
  624  474]"
20,1160212.890000001,8931.08666000003,"[-48   1 -26  17  86   0  -3 -23 -16 -29  84  58  32  -7  81  14 -86 -93
  89 -78  52 -48 -44 -65 -95 -46 -71 -29  83 -75]","[ 626  693  988  685  314    0  922 1236  228  723   86  299    0  960
  768  503  782  823  692  610   97  465 1604  516  335  894  841  335
  556  415]"
21,1169143.976660001,-3431.257519999752,"[ -8 -86  40 -51 -67   0  78 -56  80  64  77  76 -32  69  87 -56 -58 -60
  37  52 -11   9 -90 -12 -72  43 -47 -97  92 -37]","[ 578  694  962  702  400    0  919 1213  212  694  170  357   32  953
  849  517  696  730  781  532  149  417 1560  451  240  848  770  306
  639  340]"
22,1165712.7191400013,0.6617100001312792,"[-90 -11  -4 -40  21  63 -70 -50 -50 -21  15  90  78 -54  87  48 -81  58
 -26  48  -5  18  15 -38  51  34 -15  81 -43  43]","[ 570  608 1002  651  333    0  997 1157  292  758  247  433    0 1022
  936  461  638  670  818  584  138  426 1470  439  168  891  723  209
  731  303]"
23,1165713.3808500015,1011.8721299997997,"[ 40  -6  73  59 -53  55 -52  14   7 -92 -73 -65  50 -52 -72 -25  16  18
  -1 -63  72 -53 -19 -67  79 -91  57  22  95  65]","[ 480  597  998  611  354   63  927 1107  242  737  262  523   78  968
 1023  509  557  728  792  632  133  444 1485  401  219  925  708  290
  688  346]"
24,1166725.2529800013,6993.3757800001185,"[-39  66  16  84 -57 -92 -11  87   3 -56  78 -97 -94 -42   0 -38 -31 -96
 -39  51 -51  72 -67 -86  48 -18 -84  40 -51  91]","[ 520  591 1071  670  301  118  875 1121  249  645  189  458  128  916
  951  484  573  746  791  569  205  391 1466  334  298  834  765  312
  783  411]"
25,1173718.6287600014,4819.028759999899,"[ 74 -74  51  11  12  71 -86  39 -26  17   1 -92  76 -45 -28   7 -84 -53
  40  18  56 -75 -54 -73 -79 -56  -1 -31  24 -56]","[ 481  657 1087  754  244   26  864 1208  252  589  267  361   34  874
  951  446  542  650  752  620  154  463 1399  248  346  816  681  352
  732  502]"
26,1178537.6575200013,-5778.92500999989,"[-30 -24 -62   6  27   9 -64  23 -40  87  -9 -17  82 -30   4   4 -24  31
  37  46  30 -92  64 -99 -30 -51 -14 -16  96 -32]","[ 555  583 1138  765  256   97  778 1247  226  606  268  269  110  829
  923  453  458  597  792  638  210  388 1345  175  267  760  680  321
  756  446]"
27,1172758.7325100014,1307.446829999797,"[-27  37  58 -29 -30  31   5 -90 -79 -27  12  22   2 -35  -9 -72 -46  64
  93  95 -29  57  10  60  47 -73  -9  59 -14 -95]","[ 525  559 1076  771  283  106  714 1270  186  693  259  252  192  799
  927  457  434  628  829  684  240  296 1409   76  237  709  666  305
  852  414]"
28,1174066.1793400012,-755.5901699999813,"[-41 -85 -55   0 -25  49  98 -81 -61  50  28 -91  62 -60 -13 -40  50  90
 -62 -72  38   5  63  26 -97 -73  38  68 -21 -93]","[ 498  596 1134  742  253  137  719 1180  107  666  271  274  194  764
  918  385  388  692  922  779  211  353 1419  136  284  636  657  364
  838  319]"
29,1173310.5891700012,-16300.314080000157,"[-81  51 -42 -54 -84 -34  -3  14  67 -12 -31 -33  88 -36  89  -2  58  35
   9  17 -15 -16  52  69  55  55   1  60  72  88]","[ 457  511 1079  742  228  186  817 1099   46  716  299  183  256  704
  905  345  438  782  860  707  249  358 1482  162  187  563  695  432
  817  226]"
30,1157010.275090001,-6329.171009999933,"[-69  32 -18  26  95  85 -71  64 -94  29 -47  17  61 -97  12 -77 -84 -17
 -83  70  -6 -46   9  15  83 -28  -2 -41 -76 -13]","[ 376  562 1037  688  144  152  814 1113  113  704  268  150  344  668
  994  343  496  817  869  724  234  342 1534  231  242  618  696  492
  889  314]"
31,1150681.1040800011,14818.089350000024,"[-80  80 -44  80 -66  14 -58 -17  35 -12 -24  -9 -93 -66 -53 -67 -19  20
 -43  24 -58 -59   5 -16  69  93  45  46  81  60]","[ 307  594 1019  714  239  237  743 1177   19  733  221  167  405  571
 1006  266  412  800  786  794  228  296 1543  246  325  590  694  451
  813  301]"
32,1165499.1934300011,4694.181619999697,"[-83  -2 -70  -5   2  89  86 -44 -54  73  92 -19 -31   6 -11 -70 -56  86
  88  90 -82  29  93 -80  48  59 -34  54  23  22]","[ 227  674  975  794  173  251  685 1160   54  721  197  158  312  505
  953  199  393  820  743  818  170  237 1548  230  394  683  739  497
  894  361]"
