,account_value,reward,actions,n_shares
0,1000000.0,285.0046999999322,"[  0 100   0   0   0 100  48  82 100 100  84  70  68   0   0   0  67   0
 100   0 100   0   0   0   0   0   2  78   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,1000285.0046999999,479.0219900001539,"[  0 100   0   0 100 100  98 100  90 100  95 -70  19   0   0   0 100   0
  86   0 100   0   0   0  92   3  -2   9   0   0]","[  0 100   0   0   0 100  48  82 100 100  84  70  68   0   0   0  67   0
 100   0 100   0   0   0   0   0   2  78   0   0]"
2,1000764.0266900001,1935.8183500000741,"[  0  52   0   0 100 100 100  75  99 100 100   0  86 100   0   0 100   0
  35 100 100   0   0   0 -92  -3   0 100   0   0]","[  0 200   0   0 100 200 146 182 190 200 179   0  87   0   0   0 167   0
 186   0 200   0   0   0  92   3   0  87   0   0]"
3,1002699.8450400002,951.6350599998841,"[   0  100    0    0    6  100  100  100   12  100  100   41  100 -100
    0    0  100    0   97    0  100  100    0    0    0   54    0  -31
    0    0]","[  0 252   0   0 200 300 246 257 289 300 279   0 173 100   0   0 267   0
 221 100 300   0   0   0   0   0   0 187   0   0]"
4,1003651.4801,946.2971900000703,"[ 79 100   0   0 100  79 100 100 100 100 100 -41 100   0   0   0 100   0
 100  66 100  -2   7   0   0 -54  18 100   0   0]","[  0 352   0   0 206 400 346 357 301 400 379  41 273   0   0   0 367   0
 318 100 400 100   0   0   0  54   0 156   0   0]"
5,1004597.7772900001,1897.0850800001062,"[-79 100   0   0  38 100 100 100 100  96 100 100 100   0   0   0 100   0
  -2 100 100 -98  -7   0  14   0 -18  88 100   0]","[ 79 452   0   0 306 479 446 457 401 500 479   0 373   0   0   0 467   0
 418 166 500  98   7   0   0   0  18 256   0   0]"
6,1006494.8623700002,-178.7389300003415,"[   0  100    0    0  100  100  100  100  100   67  100 -100  -67    0
    0    0  100    0    1   23  100   80    0    0   51    0    0   97
   49    0]","[  0 552   0   0 344 579 546 557 501 596 579 100 473   0   0   0 567   0
 416 266 600   0   0   0  14   0   0 344 100   0]"
7,1006316.1234399999,11.326589999953285,"[  0 100   0   0  61 100 100 100 100 100 100  22 100  15   0   0  82   0
  52 100 100 -19   0   0  21   0   0 100 -40   0]","[  0 652   0   0 444 679 646 657 601 663 679   0 406   0   0   0 667   0
 417 289 700  80   0   0  65   0   0 441 149   0]"
8,1006327.4500299998,1408.894789999933,"[   0  100    0    0  100  100  100  100  100  100   46  -22  100  100
    0    0  100    0  -37  -33  100  100    0    0  -23    0    0   43
 -100    0]","[  0 752   0   0 505 779 746 757 701 763 779  22 506  15   0   0 749   0
 469 389 800  61   0   0  86   0   0 541 109   0]"
9,1007736.3448199998,987.4270999998553,"[  0 100   0   0 100 100 100 100 100 100 100   1 100 -12   0   0 100   0
  22   5 100 100   0   0 -20   0 100 100  62   0]","[  0 852   0   0 605 879 846 857 801 863 825   0 606 115   0   0 849   0
 432 356 900 161   0   0  63   0   0 584   9   0]"
10,1008723.7719199996,-20004.77397999994,"[   0  100    0    0    4   92   91  100  100   43  100    9   39    6
    0    0  100    0  -84  100  100 -100    0    0  -43    0  100  100
   75    0]","[   0  952    0    0  705  979  946  957  901  963  925    1  706  103
    0    0  949    0  454  361 1000  261    0    0   43    0  100  684
   71    0]"
11,988718.9979399997,-899.6917700001504,"[  0 100   0   0 100 100 100 100 100 100   2 100  39  48   0   0 100   0
  82 100 100 100   0   0 100   0 100  84 -69   0]","[   0 1052    0    0  709 1071 1037 1057 1001 1006 1025   10  745  109
    0    0 1049    0  370  461 1100  161    0    0    0    0  200  784
  146    0]"
12,987819.3061699995,9947.845409999834,"[   0  100    0    0  100  100   15  100  100  100  100  100   -7   90
    0    0   88    0   31   24  100   -2    0    0 -100    0    2  -50
   48    0]","[   0 1152    0    0  809 1171 1137 1157 1101 1106 1027  110  784  157
    0    0 1149    0  452  561 1200  261    0    0  100    0  300  868
   77    0]"
13,997767.1515799994,3522.0241000000387,"[   0  100    0    0   36  100  100  100  100  100  100   -3  100   50
    0    0  100    0 -100   82  100  100    0    0    0    0  100   -9
    6    0]","[   0 1252    0    0  909 1271 1152 1257 1201 1206 1127  210  777  247
    0    0 1237    0  483  585 1300  259    0    0    0    0  302  818
  125    0]"
14,1001289.1756799994,3302.918539999868,"[   0  100    0    0   45  100  -17   78  100  100  100  100  100  100
    0    0  100    0 -100   22  100  100   48    0    0    0   36  100
  -53    0]","[   0 1352    0    0  945 1371 1252 1357 1301 1306 1227  207  877  297
    0    0 1337    0  383  667 1400  359    0    0    0    0  402  809
  131    0]"
15,1004592.0942199993,-11659.795939999865,"[   0  100    0    0  100   50  100  100  100  100  100    1  100 -100
    0    0  -77    0 -100   42  100  100  -48    0    0    0  -38  100
  100    0]","[   0 1452    0    0  990 1471 1235 1435 1401 1406 1327  307  977  397
    0    0 1437    0  283  689 1500  459   48    0    0    0  438  909
   78    0]"
16,992932.2982799994,-22596.693039999926,"[   0  100    0    0   60  100  100  100  100  100  100    0  100  100
    0    0  100    0 -100   25  100   80    0    0   87    0  -42  100
  -16    0]","[   0 1552    0    0 1090 1521 1335 1535 1501 1506 1427  308 1077  297
    0    0 1360    0  183  731 1600  559    0    0    0    0  400 1009
  178    0]"
17,970335.6052399995,-31336.350300000166,"[   0  100    0    0  100  100  100  100   52  100  100  100  100   73
    0    0  100    0  -83   23    7   47    0    0  -87    0 -100 -100
   74    0]","[   0 1652    0    0 1150 1621 1435 1635 1601 1606 1527  308 1177  397
    0    0 1460    0   83  756 1700  639    0    0   87    0  358 1109
  162    0]"
