,account_value,reward,actions,n_shares
0,1095467.8527000048,-5756.724789999891,"[-86   0  46  98 -28   0 -63 -56  91 -68  78   0 -82 -45   0 -53  91  92
 -95   0 -91   0  94 -63  94  95   0   0  82 -85]","[4933  560  119  804 3176   76   67  118  309  263  892  980 2042 1745
 1207  760 1640   80 1380 2482  454 3382  139  188    0  815  451 1666
   91  276]"
1,1089711.127910005,-12822.055869999807,"[  0  85 -45   0   0   0  -4 -33   0   0  95 -35 -63   0 -19 -75  -4  -9
   0 -56 -59   1  97  13   0   0   0   0  86   0]","[4847  560  165  902 3148   76    4   62  400  195  970  980 1960 1700
 1207  707 1731  172 1285 2482  363 3382  233  125   94  910  451 1666
  173  191]"
2,1076889.0720400051,6809.381169999717,"[-31 -73  35 -28  61 -19  35  64  40 -71 -37  64  39 -21 -88 -93  35 -41
  50  -4 -30 -36  98  55 -74   3 -81 -38  17  62]","[4847  645  120  902 3148   76    0   29  400  195 1065  945 1897 1700
 1188  632 1727  163 1285 2426  304 3383  330  138   94  910  451 1666
  259  191]"
3,1083698.4532100048,-3136.1320999998134,"[-66 -27  20 -96  26 -29 -35  80 -32 -85  19  75 -68  63 -87 -44  -7 -52
 -68  18 -40  24  29 -49  66  46   0 -35 -71  56]","[4816  572  155  874 3209   57   35   93  440  124 1028 1009 1936 1679
 1100  539 1762  122 1335 2422  274 3347  428  193   20  913  370 1628
  276  253]"
4,1080562.321110005,13553.707309999969,"[-17 -60 -82 -67  33 -28  34 -20 -21  87 -48 -62   2 -63 -86  -3 -15  91
 -55 -79 -18 -53  37 -21 -36  66  47 -80  46  31]","[4750  545  175  778 3235   28    0  173  408   39 1047 1084 1868 1742
 1013  495 1755   70 1267 2440  234 3371  457  144   86  959  370 1593
  205  309]"
5,1094116.028420005,29.748480000067502,"[-61  60 -92  68 -12   0  64  53   0  44 -70  30  45 -39  51  99 -77 -94
  84  79  52  62 -52  30 -22   1 -86  44   5  27]","[4733  485   93  711 3268    0   34  153  387  126  999 1022 1870 1679
  927  492 1740  161 1212 2361  216 3318  494  123   50 1025  417 1513
  251  340]"
6,1094145.776900005,-1378.7133400000166,"[-31  75  -1   0  68  89   3 -50  72  63  -2 -25 -74  81  72 -38  -1  96
  82   0 -83 -85  93 -19   0   0   0  76 -96 -74]","[4672  545    1  779 3256    0   98  206  387  170  929 1052 1915 1640
  978  591 1663   67 1296 2440  268 3380  442  153   28 1026  331 1557
  256  367]"
7,1092767.063560005,-1912.2162000001408,"[  0   0   0   0   0  -3 -36 -59   0  85 -68  -4 -44 -68 -39   0  31   0
  84   0   1 -10 -43   0 -28 -63 -14   0   0   0]","[4641  620    0  779 3324   89  101  156  459  233  927 1027 1841 1721
 1050  553 1662  163 1378 2440  185 3295  535  134   28 1026  331 1633
  160  293]"
8,1090854.847360005,-19388.7893399999,"[-18   0  96  -9   0 -65   1 -97   0  95 -48 -95  95 -13  97 -29  94 -16
 -34   0 -16  -5   0  64   0  -7 -53 -34 -53 -24]","[4641  620    0  779 3324   86   65   97  459  318  859 1023 1797 1653
 1011  553 1693  163 1462 2440  186 3285  492  134    0  963  317 1633
  160  293]"
9,1071466.058020005,13081.890420000069,"[ 91 -79  83 -86 -40  85  99   0   0 -95   0 -86 -18  -9   0  85 -95  29
  78   0   0 -36   0   0   0   0   0   0   0 -56]","[4623  620   96  770 3324   21   66    0  459  413  811  928 1892 1640
 1108  524 1787  147 1428 2440  170 3280  492  198    0  956  264 1599
  107  269]"
10,1084547.948440005,-39766.686970000155,"[ 85  65 -84  30  27 -27 -10  98  58 -21 -40 -53 -19 -55  42 -53 -70  54
  23 -93  85   9  39  65   0  43  42 -35 -71 -25]","[4714  541  179  684 3284  106  165    0  459  318  811  842 1874 1631
 1108  609 1692  176 1506 2440  170 3244  492  198    0  956  264 1599
  107  213]"
11,1044781.2614700049,15007.475960000185,"[ 78 -33  -8 -35 -39 -44 -56  88 -52 -75 -48 -80  66 -50  95 -55  54 -70
 -19 -77  80  66 -78 -44  40  34  66 -10  29 -88]","[4799  606   95  714 3311   79  155   98  517  297  771  789 1855 1576
 1150  556 1622  230 1529 2347  255 3253  531  263    0  999  306 1564
   36  188]"
12,1059788.737430005,-359.6905400000978,"[-66  23 -31 -70  90 -20 -49  82  61 -89 -38 -17  -3   0  93 -31 -25  42
 -58 -22  74  42 -13  67 -40 -35 -73  22  84  85]","[4877  573   87  679 3272   35   99  186  465  222  723  709 1921 1526
 1245  501 1676  160 1510 2270  335 3319  453  219   40 1033  372 1554
   65  100]"
13,1059429.046890005,-1526.0505300001241,"[-48   2  61 -11  20  32  -2  31  76 -52 -14 -98  20 -29  99 -13 -69  -2
 -38 -86 -78  55  33  13  60  35 -63  40  92 -87]","[4811  596   56  609 3362   15   50  268  526  133  685  692 1918 1526
 1338  470 1651  202 1452 2248  409 3361  440  286    0  998  299 1576
  149  185]"
14,1057902.9963600049,18930.436489999993,"[-81 -47 -60 -85 -58  14  48 -38  76 -70  91  42 -60  29  35  41  45  77
  -5 -83  12  53 -13  -8 -14  65  38  96  85  35]","[4763  598  117  598 3382   47   48  299  602   81  671  594 1938 1497
 1437  457 1582  200 1414 2162  331 3416  473  299   60 1033  236 1616
  241   98]"
15,1076833.4328500049,9678.010609999998,"[ 75  72  75  62  50  70 -84 -22 -71 -11  27 -26  20 -48  47 -63 -10 -64
  92  77 -70 -74  48  43  -4  28 -76  15 -74  64]","[4682  551   57  513 3324   61   96  261  678   11  762  636 1878 1526
 1472  498 1627  277 1409 2079  343 3469  460  291   46 1098  274 1712
  326  133]"
16,1086511.4434600049,-2457.902449999936,"[  2 -27 -64  27  53   0 -12  71 -93   0 -17 -67 -59  61  75  40  18  52
  78 -66  61  33 -22  14 -42 -15 -37 -28  21 -64]","[4757  623  132  575 3374  131   12  239  607    0  789  610 1898 1478
 1519  435 1617  213 1501 2156  273 3395  508  334   42 1126  198 1727
  252  197]"
17,1084053.541010005,6147.052470000228,"[ 26 -82 -27 -11   4  14   8 -48  47  46 -21 -27 -42  32 -61  93  29 -83
   9  67  41  75   4 -85   0  97 -64  16  36  44]","[4759  596   68  602 3427  131    0  310  514    0  772  543 1839 1539
 1594  475 1635  265 1579 2090  334 3428  486  348    0 1111  161 1699
  273  133]"
18,1090200.5934800052,-8317.534539999906,"[-82 -54 -41   0 -19  85  -8  92  76   0 -69 -28   0  96 -72  -6  34 -84
  78 -57 -31 -13 -48   0   0   0   1   2  95 -86]","[4785  514   41  591 3431  145    8  262  561   46  751  516 1797 1571
 1533  568 1664  182 1588 2157  375 3503  490  263    0 1208   97 1715
  309  177]"
19,1081883.0589400053,22693.752219999675,"[-79   0  68   0   2 -35   0 -70  -3  52  -9  65   0   0 -41 -13 -19   0
   0   0 -68   0   0  -5  95 -41   0 -31   0   0]","[4703  460    0  591 3412  230    0  354  637   46  682  488 1797 1667
 1461  562 1698   98 1666 2100  344 3490  442  263    0 1208   98 1717
  404   91]"
20,1104576.811160005,15119.744810000062,"[-52  11  40 -98  97   1  37 -98 -80   9  11  74 -41  75 -46 -90 -86  41
 -85 -11 -82 -10 -88 -99  76 -31  85   6 -45 -67]","[4624  460   68  591 3414  195    0  284  634   98  673  553 1797 1667
 1420  549 1679   98 1666 2100  276 3490  442  258   95 1167   98 1686
  404   91]"
21,1119696.555970005,9634.307239999762,"[ 71  67 -29  49 -29 -86  81  79 -14 -31 -52  45 -99 -25 -35 -42 -90 -69
  10 -54  21 -54  35 -14  77  85 -54 -34 -90 -24]","[4572  471  108  493 3511  196   37  186  554  107  684  627 1756 1742
 1374  459 1593  139 1581 2089  194 3480  354  159  171 1136  183 1692
  359   24]"
22,1129330.8632100048,7499.913960000034,"[ 61  -2  63 -73 -55  80  89  -2 -61  23 -38  76  77 -22 -75  59 -51  62
   8  80  94  72   0  15 -52 -69  51  86  15  98]","[4643  538   79  542 3482  110  118  265  540   76  632  672 1657 1717
 1339  417 1503   70 1591 2035  215 3426  389  145  248 1221  129 1658
  269    0]"
23,1136830.7771700048,2343.962460000301,"[ 61  46 -72 -57  45  80 -58 -26  87 -27 -78  14 -76 -83 -35  44  25  -1
 -79 -89 -53 -90 -28 -92  43 -62  10 -81  87 -79]","[4704  536  142  469 3427  190  207  263  479   99  594  748 1734 1695
 1264  476 1452  132 1599 2115  309 3498  389  160  196 1152  180 1744
  284   98]"
24,1139174.739630005,3732.523469999898,"[-22  48  -9 -14  -7  67  14 -67  60  70  21 -82  63  25  -6  83 -39 -87
  25  78 -34  31  88 -24  65  52  29  57  -5  32]","[4765  582   70  412 3472  270  149  237  566   72  516  762 1658 1612
 1229  520 1477  131 1520 2026  256 3408  361   68  239 1090  190 1663
  371   19]"
25,1142907.263100005,-17328.018939999864,"[-19 -38   7 -82 -74   9  97  -5 -25  90  28 -26 -48  51 -72  25  30  89
  91  70 -53 -92   0  35  38  -6 -86 -30   4   7]","[4743  630   61  398 3465  337  163  170  626  142  537  680 1721 1637
 1223  603 1438   44 1545 2104  222 3439  449   44  304 1142  219 1720
  366   51]"
26,1125579.2441600051,2045.451869999757,"[-81 -71 -57 -45  93  28  41  83 -72  46  88 -58 -62 -32 -94  73  81 -98
  88 -47 -80 -42 -99  59  17  91  76 -56 -72 -32]","[4724  592   68  316 3391  346  260  165  601  232  565  654 1673 1688
 1151  628 1468  133 1636 2174  169 3347  449   79  342 1136  133 1690
  370   58]"
27,1127624.6960300049,-2828.307909999974,"[ 40 -99 -11 -32   3  65  92  16 -33  71 -28 -74  43 -70  45  52 -16 -35
 -65 -75  92 -61  41 -95 -64  -3  89 -83   7  91]","[4643  521   11  271 3484  374  301  248  529  278  653  596 1611 1656
 1057  701 1549   35 1724 2127   89 3305  350  138  359 1227  209 1634
  298   26]"
28,1124796.388120005,-1951.6021000000183,"[-91   0   0 -84   0  77 -63  54  94 -32 -36   0   0 -60 -87  71 -61  65
 -26   0  60 -51   0 -13 -27 -12  37 -48 -53  48]","[4683  422    0  239 3487  439  393  264  496  349  625  522 1654 1586
 1102  753 1533    0 1659 2052  181 3244  391   43  295 1224  298 1551
  305  117]"
29,1122844.786020005,870.8298400002532,"[  0 -10   0  -3 -63 -64   2 -65 -89   0  60   0 -19 -26   0 -41  31   0
  97  54  59  43   0   0  -2  62   0   0  -6   0]","[4592  422    0  155 3487  516  330  318  590  317  589  522 1654 1526
 1015  824 1472   65 1633 2052  241 3193  391   30  268 1212  335 1503
  252  165]"
30,1123715.6158600051,-8974.577270000009,"[  0 -37   0  99 -49 -26   0   1   0   0   0  77 -37   0   0 -86 -28  86
  21   0   0 -97   0 -18   0   0  -3   0   0 -39]","[4592  412    0  152 3424  452  332  253  501  317  649  522 1635 1500
 1015  783 1503   65 1730 2106  300 3236  391   30  266 1274  335 1503
  246  165]"
31,1114741.0385900051,-8006.148650000105,"[-20   0   0  83  37 -13  86   0 -61 -51  47  39  50 -19 -64 -15 -19  60
  -3 -75  -1  22 -43 -12  16 -45  31 -15 -74   6]","[4592  375    0  251 3375  426  332  254  501  317  649  599 1598 1500
 1015  697 1475  151 1751 2106  300 3139  391   12  266 1274  332 1503
  246  126]"
32,1106734.889940005,4596.902119999984,"[ -8  -2   0  79  88  94  78  97 -61 -19  83   0 -40  67 -34 -24  12 -65
  -2 -69  89 -51  79   2 -14 -37 -25   0  50   0]","[4572  375    0  334 3412  413  418  254  440  266  696  638 1648 1481
  951  682 1456  211 1748 2031  299 3161  348    0  282 1229  363 1488
  172  132]"
33,1111331.792060005,-3476.0949200000614,"[-46 -81   0  58  76   0   2 -96  51  -6 -59  50  64  34 -42 -14   0  26
 -91 -74  34  58 -10  83 -12 -31   0  78  66  54]","[4564  373    0  413 3500  507  496  351  379  247  779  638 1608 1548
  917  658 1468  146 1746 1962  388 3110  427    2  268 1192  338 1488
  222  132]"
34,1107855.697140005,-8112.69962999993,"[-67 -74   0  59 -77  21  24 -35  46  -9  81  47  -9 -69 -38 -33 -41 -92
 -56 -93  70  30 -65  29  41 -20 -30  19  47  59]","[4518  292    0  471 3576  507  498  255  430  241  720  688 1672 1582
  875  644 1468  172 1655 1888  422 3168  417   85  256 1161  338 1566
  288  186]"
35,1099742.997510005,714.436299999943,"[  7 -87  59 -89 -64 -38 -39 -85 -74   5  28 -77   6  -5 -97  50 -92 -80
  61 -76  17  37  40 -34 -27  57  93 -88 -31 -36]","[4451  218    0  530 3499  528  522  220  476  232  801  735 1663 1513
  837  611 1427   80 1599 1795  492 3198  352  114  297 1141  308 1585
  335  245]"
36,1100457.433810005,3349.232029999839,"[ 42  40 -47  -3 -48 -65  48  81  75 -62  96 -85 -15  -9  42   5  24  12
 -76  70  13  42  65 -67 -90 -39   4  46  46 -81]","[4458  131   59  441 3435  490  483  135  402  237  829  658 1669 1508
  740  661 1335    0 1660 1719  509 3235  392   80  270 1198  401 1497
  304  209]"
37,1103806.6658400048,1451.530660000164,"[-63  69  68  37  91  91 -41   0  48  21  85  86  74  54   8  35 -92   7
  11  58  40 -97 -39  40 -61 -57 -70 -72 -95  29]","[4500  171   12  438 3387  425  531  216  477  175  925  573 1654 1499
  782  666 1359   12 1584 1789  522 3277  457   13  180 1159  405 1543
  350  128]"
38,1105258.196500005,-8132.348059999989,"[ 10  87   8 -35 -52  94  89  68 -28 -95 -51  18  58 -77 -20  51  75 -19
 -51 -55  36  54 -51  64 -25 -66  42  89  49  43]","[4437  240   80  475 3478  516  490  216  525  196 1010  659 1728 1553
  790  701 1267   19 1595 1847  562 3180  418   53  119 1102  335 1471
  255  157]"
39,1097125.848440005,11612.087169999955,"[ 90  14  13 -28  -7 -71  90 -16  36 -19  15 -48 -25 -71 -31  22  97  49
 -29  63 -78  22  -4 -39  82  68  12  34 -49  71]","[4447  327   88  440 3426  610  579  284  497  101  959  677 1786 1476
  770  752 1342    0 1544 1792  598 3234  367  117   94 1036  377 1560
  304  200]"
40,1108737.935610005,6762.087350000162,"[-71  51  28 -34 -23 -98  80 -35  43   2   0  90  51  11  71 -25  40   7
 -41 -43 -53  71   7 -67   4  34  -6  55 -67 -92]","[4537  341  101  412 3419  539  669  268  533   82  974  629 1761 1405
  739  774 1439   49 1515 1855  520 3256  363   78  176 1104  389 1594
  255  271]"
41,1115500.022960005,3039.5785899998154,"[-38  55 -81 -97 -92  80  29   9 -88 -69 -80   7  38 -38 -94 -54  39  57
 -64  77 -55  78  50  65   7  -8  -9 -42  12  64]","[4466  392  129  378 3396  441  749  233  576   84  974  719 1812 1416
  810  749 1479   56 1474 1812  467 3327  370   11  180 1138  383 1649
  188  179]"
42,1118539.601550005,1498.4660300002433,"[-41 -41  84 -22 -56 -36  77   0 -10  89 -31 -55 -15 -31 -98 -50  -4 -10
 -13  58  47 -10  77 -63 -80   7 -75 -72   7 -98]","[4428  447   48  281 3304  521  778  242  488   15  894  726 1850 1378
  716  695 1518  113 1410 1889  412 3405  420   76  187 1130  374 1607
  200  243]"
43,1120038.0675800052,-182.16101000015624,"[ 42 -25  36  53  97  96 -25  32  62 -61  97 -78  52 -69  48 -27 -20 -85
  -4 -35 -88  72  17 -13 -56 -88   0  52 -94 -57]","[4387  406  132  259 3248  485  855  242  478  104  863  671 1835 1347
  618  645 1514  103 1397 1947  459 3395  497   13  107 1137  299 1535
  207  145]"
44,1119855.906570005,5503.487770000007,"[ 91 -62 -88 -17   2  33  51  37  71  -2 -99 -23 -33 -27 -44 -88  42   7
  79 -84  -2  35  68   0  38 -22  38   1  25 -88]","[4429  381  168  312 3345  581  830  274  540   43  960  593 1887 1278
  666  618 1494   18 1393 1912  371 3467  514    0   51 1049  299 1587
  113   88]"
45,1125359.394340005,4425.516079999972,"[-20 -67  81  32  92 -49 -55 -47   1  58 -86 -12   4 -96  43  59 -40  79
 -34 -11 -61  55 -49   0  29   0  85 -39 -68  75]","[4520  319   80  295 3347  614  881  311  611   41  861  570 1854 1251
  622  530 1536   25 1472 1828  369 3502  582    0   89 1027  337 1588
  138    0]"
46,1129784.910420005,297.7976699999999,"[-28 -43 -36  33 -43  -8  58 -21 -49   7  60  51  52  -2 -54  14 -14  16
  72 -85 -69 -35  -8  60  45  15  98  76  90  52]","[4500  252  161  327 3439  565  826  264  612   99  775  558 1858 1155
  665  589 1496  104 1438 1817  308 3557  533    0  118 1027  422 1549
   70   75]"
47,1130082.708090005,-1214.1425099999178,"[ 32 -53  27 -13  34 -64 -17   5  15 -88  78  27 -48  70 -33   3 -42  84
 -18  34 -67  29   0  41  31 -36  25  73 -90 -18]","[4472  209  125  360 3396  557  884  243  563  106  835  609 1910 1153
  611  603 1482  120 1510 1732  239 3522  525   60  163 1042  520 1625
  160  127]"
48,1128868.565580005,-808.931320000207,"[-18 -56 -20  62 -28 -47  27 -63  83  88  47  93 -96  58  -8  52 -80 -19
 -68  37   5   7   5 -57 -91 -43  54 -79   5 -84]","[4504  156  152  347 3430  493  867  248  578   18  913  636 1862 1223
  578  606 1440  204 1492 1766  172 3551  525  101  194 1006  545 1698
   70  109]"
49,1128059.6342600049,1048.2860700001474,"[-19  72  70   0 -80   2 -49 -83  -1 -88  12  49  75 -68  55  44 -24  68
  70 -99 -74 -10 -61   0  18 -83  65 -98  62  22]","[4486  100  132  409 3402  446  894  185  661  106  960  729 1766 1281
  570  658 1360  185 1424 1803  177 3558  530   44  103  963  599 1619
   75   25]"
50,1129107.920330005,416.29675000021234,"[ 81 -78  20 -56 -30 -41 -84  37  -2 -18 -66 -89 -91 -70 -76   7 -11 -17
   4  79  53 -42  47 -44  48 -69   0 -13 -84 -22]","[4467  172  202  409 3322  448  845  102  660   18  972  778 1841 1213
  625  702 1336  253 1494 1704  103 3548  469   44  121  880  664 1521
  137   47]"
51,1129524.2170800052,-6923.142710000277,"[-66 -82  50 -65 -22  76 -35 -29 -66  93 -48  65  74 -95 -33  62  31  48
 -59  91  39  37  19   0 -62 -95 -63 -81 -53 -13]","[4548   94  222  353 3292  407  761  139  658    0  906  689 1750 1143
  549  709 1325  236 1498 1783  156 3506  516    0  169  811  664 1508
   53   25]"
